Parent UEI or fallback key,Display name,Total $M,Sub action count,% of total
XBVZKN1HH445,"OCEANEERING INTERNATIONAL, INC.",8.91,22,0.08%
VXHFDAKS2LZ6,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,8.69,13,0.08%
CMANNFGEFNP6,WARD LEONARD HOLDINGS LLC,8.65,22,0.08%
F42BKS7EHCL8,EMS DEVELOPMENT CORPORATION,8.51,1,0.08%
CE3HF8PLAFD3,"MILWAUKEE VALVE COMPANY, LLC",8.49,36,0.08%
RXA2JHPN9JD3,"BRANTNER AND ASSOCIATES, INC.",8.43,29,0.08%
N5KEKMFCWUR1,ROTRON INCORPORATED,8.4,41,0.08%
CT5WNUADNZ44,AMPHENOL CORPORATION,8.27,5,0.08%
J3C4WKJZZKN5,"LANDSTAR SYSTEM, INC.",8.14,4,0.08%
ZVFUENFF77T1,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",8.01,14,0.08%
GVWENMHJ4Y87,"ALLEGIS GROUP, INC.",8.01,13,0.08%
GLRVV6FC6DB3,GP STRATEGIES CORPORATION,7.82,22,0.07%
EJT5ERY72NJ3,"WELLS PROFESSIONAL CONSULTING SERVICES, LLC",7.78,98,0.07%
LPY6KXBKHMK8,"RHOADS INDUSTRIES, INC.",7.75,13,0.07%
NRFJMVNYQ6C3,"ZAPATA GROUP, INC.",7.75,12,0.07%
N9UNRN3F79J1,CIRCOR PUMPS NORTH AMERICA LLC,7.74,12,0.07%
NVPEBL51CSF8,"GUILL TOOL & ENGINEERING CO, INC.",7.67,118,0.07%
JSAXGRLNEJ63,"COLONNA'S SHIP YARD, INCORPORATED",7.64,7,0.07%
LG88NCWJ3A95,"YOUNG ENGINEERING & MANUFACTURING, INC.",7.27,19,0.07%
MF1LU8RPCMB8,RANOR INC.,7.09,52,0.07%
RYRLL49HWN65,BAKER SHEET METAL CORPORATION,7.09,38,0.07%
XLKTN1TLGB75,ELMA ELECTRONIC INC.,7.08,22,0.07%
HLQLWMV97J37,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,7.03,16,0.07%
NSWQJBEZZD83,SOPHEON CORPORATION,6.93,9,0.07%
E86GJS762JJ5,TOTAL SA,6.87,4,0.07%
PBC2VH3ND3D4,"CP INDUSTRIES HOLDINGS, INC",6.85,1,0.07%
LPWJLN5JQPW4,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,6.81,3,0.06%
XD2KRCD9W4A5,PRL INDUSTRIES INC,6.81,14,0.06%
