Subawardee UEI,Program,Subawardee Vendor Name,Primary NAICS-6,NAICS-6 Description
JE8QAT3GGJN6,Virginia,LINTECH COMPONENTS CO INC,,"n/a (long-tail, not researched)"
MNPUJ84L1AK7,Virginia,A & A COMPANY INC,,"n/a (long-tail, not researched)"
Y5HPNMZGC7U3,Virginia,SEACON ADVANCED PRODUCTS LLC,,"n/a (long-tail, not researched)"
E3WFXJMWH458,Virginia,"ADVANCED THEODOLITE TECHNOLOGY, INC.",541330,Engineering Services
CZXNLVL5TBN3,Virginia,ROANWELL CORPORATION,,"n/a (long-tail, not researched)"
M8ZHL8ZXGQP5,Virginia,"CHROMALOX, INC.",333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
MKG5CAN2J8S7,Virginia,"SAMTAN ENGINEERING, LLC",,"n/a (long-tail, not researched)"
L6V2CGVQP844,Virginia,RDF CORPORATION,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
CP8AJC3EDE93,Virginia,"Alp Industries, Inc.",,"n/a (long-tail, not researched)"
T2VFE1NGR3G5,Virginia,"DRS TRAINING & CONTROL SYSTEMS, LLC",334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
EDLHL766DYP1,Virginia,"WESCO DISTRIBUTION, INC.",,"n/a (long-tail, not researched)"
JG24FKGD5Z77,Virginia,"JOHN WATTS ASSOCIATES, INC.",,"n/a (long-tail, not researched)"
J1HRLJ1Q1NT6,Virginia,"MC2 SABTECH HOLDINGS, INC.",,"n/a (long-tail, not researched)"
QGB4RDYJNJT9,Virginia,ELLWOOD NATIONAL FORGE COMPANY,332111,Iron and Steel Forging
WQ8LDD3N2K24,Virginia,BRADDOCK HEAT TREATING COMPANY INC,,"n/a (long-tail, not researched)"
SMZQB2YVYM66,Virginia,ROTRON INCORPORATED,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
GN84UHWZJMR8,Virginia,"DAYTON T. BROWN, INC.",541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
DP49VT4FA4J3,Virginia,"ADA CORE TECHNOLOGIES, INC.",541511,Custom Computer Programming Services
X4UMAJJTMS97,Virginia,GERMANE SYSTEMS LC,,"n/a (long-tail, not researched)"
KWAYELLKNP86,Virginia,GET ENGINEERING CORP.,,"n/a (long-tail, not researched)"
VC8CKKWDRPD6,Virginia,Skills For Rhode Island's Future,,"n/a (long-tail, not researched)"
N6U1EU32U9J1,Virginia,EST GROUP INC,,"n/a (long-tail, not researched)"
D3QEMKB2X4N5,Virginia,"LEXAIR, INC.",332912,Fluid Power Valve and Hose Fitting Manufacturing
RFLNANKKZYV5,Virginia,SAS INSTITUTE INC.,,"n/a (long-tail, not researched)"
UJMKRGKNXML7,Virginia,DIEBOLT & COMPANY,,"n/a (long-tail, not researched)"
C18KXNHETC95,Virginia,KITCO FIBER OPTICS INC,334417,Electronic Connector Manufacturing
JEH3MF4P6N78,Virginia,MUNTERS CORPORATION,,"n/a (long-tail, not researched)"
QJ8GDNZ7RMC5,Virginia,MCMASTER-CARR SUPPLY COMPANY,,"n/a (long-tail, not researched)"
REDAH61ZHLN7,Virginia,TRI TOOL INC,,"n/a (long-tail, not researched)"
Q3HHLUDK4ED3,Virginia,Abrasive Products LLC,,"n/a (long-tail, not researched)"
CUJ6JZJFLMQ8,Virginia,"VECTOR SOFTWARE, INC.",,"n/a (long-tail, not researched)"
L6EMG925NF78,Virginia,KADANT UNAFLEX LLC,326220,Rubber and Plastics Hoses and Belting Manufacturing
UP6CM5LVP5G3,Virginia,"WARNER SPECIALTY PRODUCTS, INC.",,"n/a (long-tail, not researched)"
NDF9CNKGHWR3,Virginia,"CURTIS UNIVERSAL JOINT CO, INC.",,"n/a (long-tail, not researched)"
G44XUJLFP3A1,Virginia,TANDEMLOC INC.,,"n/a (long-tail, not researched)"
ZG54KTLANAU7,Virginia,ANVER CORPORATION,,"n/a (long-tail, not researched)"
UPJ1ASYAGWH4,Virginia,ALERT TUBING FABRICATORS INC.,,"n/a (long-tail, not researched)"
PDBCMAYNN1V8,Virginia,"CUSTOM QUALITY SCAFFOLDING, INC.",236210,INDUSTRIAL BUILDING CONSTRUCTION
KKPLLYQNK495,Virginia,"BARTOL HEATING AND COOLING, INC.",,"n/a (long-tail, not researched)"
EANJVKFHMSZ8,Virginia,"GULF FASTENER, INC.",423710,Hardware Merchant Wholesalers
FB4ZY68792Y5,Virginia,TE CONNECTIVITY PHOENIX OPTIX INC.,,"n/a (long-tail, not researched)"
FKE7YM75FN66,Virginia,"D&D FILTRATION CONSULTANTS & SUPPLIERS, INC.",,"n/a (long-tail, not researched)"
CZKYJKB7H9J7,Virginia,"VEGAS FASTENER MANUFACTURING, LLC",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
VAX5URMCQMM5,Virginia,"SI TECHNOLOGIES, INC",,"n/a (long-tail, not researched)"
NSEVFLRKSUV1,Virginia,"NORTHLAND INDUSTRIAL TRUCK CO., INC.",333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
LLNNTHPDWYV1,Virginia,LIMCO AIREPAIR INC.,,"n/a (long-tail, not researched)"
M98JCJ2U7RD8,Virginia,CARLTON NATIONAL RESOURCES INC,541330,Engineering Services
Q9D3LSUU5BN6,Virginia,"Mercury Systems, Inc.",,"n/a (long-tail, not researched)"
LNRSWFY5UKF7,Virginia,TALBERT MANUFACTURING INC,,"n/a (long-tail, not researched)"
XAABQKXTNJ16,Virginia,ADVANTAGE ENGINEERING INC,,"n/a (long-tail, not researched)"
TB74HBR5ABD6,Virginia,"HUGHES CIRCUITS, INC.",,"n/a (long-tail, not researched)"
