supplier,n_blocks_served,blocks_served,reported_$m,n_subawards,top_swbs_system
"PRECISION PRODUCTS, INC.",2,FY11 single-ship; FY13-17 MYP,3.3,26,(unmapped)
VELAN VALVE CORP.,2,FY18-22 MYP; FY23-27 MYP,3.2,23,(unmapped)
"WESTLAND TECHNOLOGIES, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,3.1,26,(unmapped)
Portland Valve LLC,2,FY18-22 MYP; FY23-27 MYP,3.1,5,(unmapped)
"MMC METROLOGY LAB, INC",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,3.0,27,(unmapped)
PACIFIC MARINE SYSTEMS CORP,2,FY11 single-ship; FY13-17 MYP,3.0,21,(unmapped)
"GLOBAL, INCORPORATED",2,FY13-17 MYP; FY18-22 MYP,2.8,25,(unmapped)
"JGILS, LLC",2,FY11 single-ship; FY13-17 MYP,2.8,33,(unmapped)
CRANE PUMPS & SYSTEMS PFT CORP,2,FY18-22 MYP; FY23-27 MYP,2.7,13,(unmapped)
M. T. DAVIDSON COMPANY,2,FY13-17 MYP; FY18-22 MYP,2.7,20,(unmapped)
"COMSACO, INC.",2,FY13-17 MYP; FY18-22 MYP,2.7,11,(unmapped)
"MILWAUKEE VALVE CO, INC",2,FY18-22 MYP; FY23-27 MYP,2.6,17,(unmapped)
GREAT LAKES SOUND & VIBRATION INC,2,FY18-22 MYP; FY23-27 MYP,2.6,3,(unmapped)
XCHANGER MANUFACTURING CORPORATION,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,2.5,11,(unmapped)
RFD BEAUFORT INC.,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,2.5,10,(unmapped)
DANTE VALVE COMPANY INC,2,FY13-17 MYP; FY18-22 MYP,2.5,37,(unmapped)
"CAROLINA POWER SYSTEMS OF SUMTER, INC.",2,FY13-17 MYP; FY18-22 MYP,2.5,16,(unmapped)
"ELECTRIC HEATER COMPANY, THE",2,FY13-17 MYP; FY18-22 MYP,2.5,14,(unmapped)
"Setra Systems, Inc.",2,FY18-22 MYP; FY23-27 MYP,2.5,8,(unmapped)
B N L INDUSTRIES INC,2,FY18-22 MYP; FY23-27 MYP,2.4,24,(unmapped)
"Southcoast Welding & Manufacturing, LLC.",2,FY13-17 MYP; FY18-22 MYP,2.4,6,(unmapped)
"GULF FASTENER, INC.",2,FY13-17 MYP; FY18-22 MYP,2.4,6,(unmapped)
"U.S. PIONEER, L.L.C.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,2.3,31,(unmapped)
"M.S.M. INDUSTRIES, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,2.2,17,(unmapped)
"CHAND, L.L.C.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,2.1,28,(unmapped)
"QUALITY PERFORMANCE, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,2.0,25,(unmapped)
CUNICO CORPORATION,4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,1.9,16,(unmapped)
Mar-Vac Products Inc,2,FY13-17 MYP; FY18-22 MYP,1.9,25,(unmapped)
"PHOENIX GROUP OF VIRGINIA, INC.",2,FY11 single-ship; FY13-17 MYP,1.8,9,(unmapped)
"MEGGITT (NORTH HOLLYWOOD), INC.",2,FY11 single-ship; FY13-17 MYP,1.8,6,(unmapped)
BLACK & DECKER (U.S.) INC.,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,1.7,8,(unmapped)
"DEFENSE MARITIME SOLUTIONS, INC.",2,FY18-22 MYP; FY23-27 MYP,1.7,11,(unmapped)
EVOQUA WATER TECHNOLOGIES LLC,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,1.7,13,(unmapped)
"CHROMALOX, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,1.6,14,(unmapped)
"AZTEC GLOBAL SOLUTIONS, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,1.6,28,(unmapped)
"HUNT VALVE COMPANY, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,1.6,16,(unmapped)
SIGNET MARITIME CORPORATION,2,FY11 single-ship; FY13-17 MYP,1.6,13,(unmapped)
GRISWOLD INDUSTRIES,2,FY18-22 MYP; FY23-27 MYP,1.6,21,(unmapped)
"PEMCO-NAVAL ENGINEERING WORKS, INC.",2,FY13-17 MYP; FY18-22 MYP,1.5,33,(unmapped)
"BAUER COMPRESSORS, INC.",2,FY13-17 MYP; FY18-22 MYP,1.5,10,(unmapped)
"SETRA SYSTEMS, INC.",2,FY18-22 MYP; FY23-27 MYP,1.5,3,(unmapped)
LISTER CHAIN & FORGE INC,2,FY18-22 MYP; FY23-27 MYP,1.4,2,(unmapped)
LOCKHEED MARTIN CORPORATION,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,1.4,11,(unmapped)
"TCH DISTRIBUTORS, LLC",3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,1.3,21,(unmapped)
"CAMERON TECHNOLOGIES US, INC.",2,FY11 single-ship; FY13-17 MYP,1.3,7,(unmapped)
M.T. DAVIDSON COMPANY,2,FY13-17 MYP; FY23-27 MYP,1.3,7,(unmapped)
"L3 TECHNOLOGIES, INC.",2,FY11 single-ship; FY13-17 MYP,1.3,11,(unmapped)
