supplier,mock_pop_n_report_ids,date_span_months,first_subaward,last_subaward,reported_$m,n_blocks
"AZTEC GLOBAL SOLUTIONS, INC.",28,127,2015-08-06,2026-03-06,1.61,3
"HUNT VALVE COMPANY, INC.",16,104,2013-04-17,2021-12-07,1.58,3
MEGGITT SAFETY SYSTEMS INC,4,23,2023-12-21,2025-11-24,1.58,1
SIGNET MARITIME CORPORATION,13,81,2015-03-26,2021-12-14,1.57,2
GRISWOLD INDUSTRIES,21,16,2024-08-15,2025-12-05,1.57,2
RAYTHEON COMPANY,4,8,2022-11-22,2023-07-26,1.52,1
"Comsaco, LLC",3,0,2025-03-04,2025-03-14,1.52,1
"PEMCO-NAVAL ENGINEERING WORKS, INC.",33,125,2013-07-26,2023-12-12,1.52,2
"BAUER COMPRESSORS, INC.",10,109,2013-07-31,2022-08-01,1.49,2
"SETRA SYSTEMS, INC.",3,2,2024-08-16,2024-10-31,1.46,2
LISTER CHAIN & FORGE INC,2,5,2024-12-09,2025-05-06,1.44,2
Rolls-Royce Corporation,4,12,2025-05-14,2026-05-27,1.42,1
"BRADKEN - ATLAS, LLC",12,50,2013-07-22,2017-09-20,1.41,1
LOCKHEED MARTIN CORPORATION,11,84,2018-07-02,2025-07-18,1.38,3
"TCH DISTRIBUTORS, LLC",21,40,2022-07-12,2025-11-25,1.29,3
"CAMERON TECHNOLOGIES US, INC.",7,57,2013-08-01,2018-05-01,1.28,2
"L.C.DOANE COMPANY,THE",2,13,2021-04-14,2022-05-10,1.27,1
M.T. DAVIDSON COMPANY,7,18,2023-06-09,2024-12-20,1.27,2
"L3 TECHNOLOGIES, INC.",11,104,2013-04-05,2021-12-09,1.26,2
ELECTRIC HEATER CO,4,1,2024-07-30,2024-08-16,1.25,1
"METALTEK INTERNATIONAL, INC.",15,148,2013-07-24,2025-11-26,1.24,2
CAROLINA POWER SYSTEMS OF SUMTER INC,4,18,2024-06-27,2025-12-04,1.22,2
QUALITY PERFORMANCE INC,9,37,2022-08-08,2025-09-26,1.21,2
NAVAL ENGINEERING SUPPORT INC,9,23,2023-12-11,2025-11-11,1.19,1
PECOFACET (OKLAHOMA) LLC,5,10,2013-06-27,2014-04-29,1.18,1
BRADKEN INC,3,12,2023-12-22,2024-12-06,1.17,2
WILLIAM E WILLIAMS VALVE CORP,13,16,2024-04-17,2025-08-26,1.17,2
"MISSISSIPPI SECURITY POLICE, INC.",3,35,2018-12-12,2021-11-22,1.17,1
SCHOELLHORN - ALBRECHT MACHINE CO INC,10,15,2024-07-17,2025-10-16,1.11,2
"TRI-TEC MANUFACTURING, LLC",10,97,2013-12-17,2022-01-13,1.09,2
Vulcan Metals Corporation,3,0,2025-04-01,2025-04-01,1.03,1
"NAC GROUP, INC.",15,83,2019-01-25,2025-12-19,1.02,2
"MILWAUKEE COMPOSITES, INC.",5,24,2023-06-27,2025-06-20,0.97,1
"SPECTRONICS, INC.",23,117,2015-12-14,2025-09-11,0.94,3
BAUER COMPRESSORS INC,3,0,2024-05-15,2024-05-16,0.92,2
KATO ENGINEERING INC.,5,14,2016-04-15,2017-06-08,0.92,1
"EDRO CORPORATION, THE",16,93,2013-04-18,2021-01-26,0.89,3
MMC METROLOGY LAB INC,5,5,2023-01-27,2023-06-19,0.88,1
"BESTWELD, INC.",15,96,2013-11-14,2021-11-02,0.86,3
Arastaff,10,24,2015-08-06,2017-08-18,0.85,2
TAVERNIER DIDIER,8,83,2013-07-19,2020-06-17,0.82,2
"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",1,0,2014-10-10,2014-10-10,0.82,1
DRS TECHNOLOGIES CANADA LTD,15,61,2018-05-28,2023-06-22,0.79,2
"DERBYSHIRE MARINE PRODUCTS, LLC",16,45,2013-08-12,2017-05-17,0.79,2
AMERICAST TECHNOLOGIES INC,7,33,2013-07-12,2016-04-07,0.79,1
SERCO INC.,7,16,2019-10-02,2021-02-19,0.77,1
"LEIDOS, INC.",8,125,2013-10-23,2024-03-21,0.76,3
"CRANE PUMPS & SYSTEMS, INC.",6,109,2013-07-18,2022-08-11,0.76,2
"CP INDUSTRIES HOLDINGS, INC.",17,108,2014-05-02,2023-05-15,0.76,2
GENERAL TOOL COMPANY,9,87,2017-11-01,2025-02-20,0.75,2
"OCENCO, INCORPORATED",3,17,2016-12-22,2018-05-15,0.74,2
"WESCO DISTRIBUTION, INC.",10,110,2015-06-16,2024-08-19,0.73,3
Surface Technologies Corporation,4,8,2025-04-04,2025-12-09,0.73,1
"GAYLORD INDUSTRIES, INC.",8,84,2014-03-24,2021-03-02,0.72,3
"EPSILON SYSTEMS SOLUTIONS, INC.",14,100,2017-05-09,2025-09-23,0.72,2
INTERNATIONAL WELDING & FABRICATION INC.,1,0,2023-02-07,2023-02-07,0.71,1
ABC APPLICATORS INC,3,5,2023-10-06,2024-03-04,0.71,1
"TATE ANDALE, LLC",10,62,2020-05-26,2025-07-08,0.71,2
DERBYSHIRE MACHINE & TOOL CO,9,70,2013-09-10,2019-07-03,0.7,3
ELLWOOD CITY FORGE COMPANY,2,18,2022-09-22,2024-03-06,0.68,1
ANIXTER INC.,10,138,2013-05-14,2024-11-14,0.68,3
ARC TECHNOLOGIES LLC,5,53,2019-02-13,2023-07-18,0.67,2
Northrop Grumman Systems Corporation,9,6,2025-05-16,2025-11-10,0.66,1
THE TIMKEN COMPANY,3,14,2024-10-02,2025-12-01,0.64,1
Limitorque Corporation,8,78,2015-02-03,2021-08-09,0.64,2
L3HARRIS MARITIME SERVICES INC,5,12,2024-10-14,2025-10-07,0.61,3
"HYSPAN PRECISION PRODUCTS, INC.",8,150,2013-04-25,2025-10-22,0.61,2
BELL STEEL COMPANY,9,88,2015-06-08,2022-10-28,0.61,2
ENERGY RENTAL SOLUTIONS LLC,7,18,2024-08-14,2026-02-25,0.59,1
SFC Valve Corporation,3,1,2025-05-21,2025-06-18,0.58,2
TIMKEN US LLC,4,32,2014-01-22,2016-09-16,0.58,1
"Triple Son Wholesale Timber, Inc.",6,93,2013-10-21,2021-07-26,0.58,3
"TATE ANDALE, INC.",10,73,2013-09-20,2019-10-28,0.57,3
The Tool House Inc,5,21,2014-03-24,2015-12-17,0.57,2
GOODRICH CORPORATION,14,93,2018-02-01,2025-11-25,0.57,2
"PARASENSE, INC",11,75,2014-10-28,2021-01-12,0.57,3
RAILWAY SPECIALTIES CORPORATION,4,18,2019-11-20,2021-05-20,0.56,1
Lockheed Martin Corporation,1,0,2025-05-27,2025-05-27,0.55,1
W R SYSTEMS LTD.,5,21,2013-07-22,2015-04-24,0.54,1
NAG LLC,2,11,2022-05-17,2023-04-28,0.53,1
"SYSCO USA II, LLC",5,65,2015-11-18,2021-04-14,0.53,2
"WEAVER SUPPLY COMPANY, LLC",14,94,2013-07-03,2021-05-31,0.53,3
BAKER SHEET METAL CORPORATION,6,103,2013-06-19,2022-01-04,0.53,2
AUTOMATIC COATING LIMITED,2,9,2015-10-01,2016-07-12,0.52,1
HONEYWELL INTERNATIONAL INC.,7,25,2022-07-07,2024-08-27,0.52,1
MARINE TECH WIRE & CABLE INC,2,24,2022-09-26,2024-09-23,0.51,1
"AMERICAN BOA, INCORPORATED",6,67,2013-12-11,2019-07-12,0.51,2
"CRAFT MACHINE WORKS, INC.",1,0,2013-09-25,2013-09-25,0.5,1
"ARC TECHNOLOGIES, INC.",5,34,2015-07-01,2018-05-25,0.5,2
THE LOUISIANA ASSOCIATION FOR THE BLIND,7,64,2016-02-23,2021-06-08,0.49,2
HOWDEN AMERICAN FAN COMPANY,6,0,2023-12-20,2023-12-20,0.46,2
SFC VALVE CORPORATION,5,4,2024-08-06,2024-12-20,0.46,2
CAMERON ENERGY SERVICES CORP.,2,24,2023-02-18,2025-02-12,0.46,1
"STS OPERATING, INC.",10,130,2014-10-17,2025-08-04,0.46,3
BESTWELD INC,6,30,2023-03-08,2025-09-04,0.45,2
"Us, Inc.",5,8,2025-04-02,2025-12-02,0.45,1
Evoqua Water Technologies LLC,2,0,2025-11-18,2025-11-20,0.45,1
"CONNECTICUT VALLEY INDUSTRIES, LLC",4,21,2013-07-26,2015-04-18,0.45,1
"U.S. Pioneer, L.L.C.",3,3,2025-08-26,2025-11-25,0.45,2
"AEROSPACE SUPPLY, INC",5,12,2024-10-31,2025-10-08,0.44,1
"RAPID DEPLOYABLE SYSTEMS, INC",2,0,2022-12-22,2022-12-22,0.44,1
"SCHOELLHORN - ALBRECHT MACHINE CO., INC.",9,73,2016-08-11,2022-09-20,0.44,2
"CP INDUSTRIES HOLDINGS, INC",6,21,2024-04-11,2026-01-13,0.44,2
"TEATR MUZYKI I POEZII P/R E.KAMBUROVOI, GBU",4,50,2017-03-10,2021-05-03,0.44,2
Oldenburg Group Incorporated,2,0,2017-09-06,2017-09-06,0.43,1
"HDT EXPEDITIONARY SYSTEMS, INC.",7,118,2013-08-07,2023-06-13,0.42,3
"US, INC.",8,26,2022-10-19,2024-12-18,0.41,2
"SECURITAS CRITICAL INFRASTRUCTURE SERVICES, INC.",2,5,2017-11-15,2018-04-05,0.41,1
"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",5,51,2013-07-23,2017-10-03,0.4,1
DEBAN ENTERPRISES INC,9,73,2015-01-14,2021-02-09,0.4,3
"SEA-TECH PRODUCTS, INC.",4,2,2023-10-17,2023-12-19,0.4,1
STANDARD CALIBRATIONS INC,7,29,2023-03-09,2025-08-04,0.4,1
"RANGER ENVIRONMENTAL SERVICES, LLC",6,10,2018-05-10,2019-03-21,0.4,1
"TRAC REGULATOR CO., INC.",4,0,2025-11-20,2025-11-20,0.4,2
CYGNUS L.L.C.,1,0,2022-06-13,2022-06-13,0.39,1
"TABET MANUFACTURING COMPANY, INC.",6,38,2020-01-31,2023-03-10,0.39,2
"JOHNSON BRASS & MACHINE FOUNDRY, INC.",8,67,2013-04-05,2018-11-08,0.38,3
"KULITE SEMICONDUCTOR PRODUCTS, INC",10,62,2016-05-16,2021-07-21,0.38,2
PEMCO-NAVAL ENGINEERING WORKS INC,7,19,2024-05-29,2025-12-16,0.38,2
KEYSTONE FIRE PROTECTION CO.,7,34,2017-07-07,2020-05-27,0.37,1
COMSACO INC,1,0,2023-03-01,2023-03-01,0.37,1
CITY ELECTRIC SUPPLY COMPANY,5,4,2025-03-12,2025-07-08,0.37,1
Cameron Energy Services Corp.,3,6,2025-03-27,2025-09-12,0.36,1
MASON FOREST PRODUCTS INC,3,31,2023-06-29,2026-01-29,0.36,1
GULF COAST MARINE SUPPLY CO,5,16,2024-09-13,2026-01-30,0.36,1
"ANDERSON METAL INDUSTRIES, INC.",10,83,2013-07-26,2020-06-18,0.34,3
"SAFARILAND, LLC",7,78,2015-04-23,2021-10-04,0.34,1
MEGATOR CORPORATION,10,84,2013-06-28,2020-06-16,0.34,2
"DRS TRAINING & CONTROL SYSTEMS, LLC",3,134,2013-08-12,2024-10-07,0.34,1
MURRAY BENJAMIN ELECTRIC CO LLC,3,0,2025-10-28,2025-10-28,0.33,2
"DONALDSON COMPANY, INC.",10,140,2014-03-06,2025-11-18,0.33,3
RANGER ENVIRONMENTAL SERVICES LLC,3,3,2025-10-03,2026-01-19,0.33,1
"MAST TECHNOLOGIES, LLC",4,31,2023-03-24,2025-10-03,0.33,1
"Ives Equipment, LLC",3,1,2025-12-08,2026-01-23,0.32,1
"POWERSTAR, INC.",5,48,2013-04-17,2017-04-27,0.32,2
FCX SYSTEMS INC,3,22,2023-05-12,2025-03-12,0.31,1
IVES EQUIPMENT CORP,2,1,2023-07-03,2023-08-02,0.31,1
MISSISSIPPI SECURITY POLICE INC,1,0,2023-06-23,2023-06-23,0.3,1
U S INC,6,60,2016-08-24,2021-08-19,0.3,2
ECI DEFENSE GROUP INC,1,0,2023-04-26,2023-04-26,0.3,1
AKRON BRASS COMPANY,6,34,2015-05-05,2018-03-27,0.3,2
SHERBURN ELECTRONICS INC.,7,21,2023-12-01,2025-09-24,0.29,2
"CIRCOR AEROSPACE, INC.",1,0,2013-10-08,2013-10-08,0.29,1
ABACUS INDUSTRIES INC,5,19,2024-05-15,2025-12-05,0.29,1
RHINESTAHL CORPORATION,4,9,2016-12-12,2017-09-26,0.29,2
JACKSON PLATING CO.,5,40,2015-04-07,2018-08-14,0.28,2
BATH IRON WORKS CORPORATION,3,2,2018-03-02,2018-05-11,0.28,1
"KITCO FIBER OPTICS, INC.",1,0,2021-11-18,2021-11-18,0.28,1
TURNBULL LLC,3,9,2022-02-25,2022-11-28,0.27,2
XYLEM INC.,7,100,2013-07-25,2021-11-09,0.27,3
CARVER PUMP COMPANY,7,0,2023-10-04,2023-10-10,0.27,1
DRS LAUREL TECHNOLOGIES,2,6,2017-06-13,2017-12-14,0.27,1
