program,vendor_uei,vendor_name,work_type,cut_profile,first_award,last_award,n_records,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total
virginia,CDVZLNCU7Z44,LEHIGH HEAVY FORGE CORP,castings,both,2023-04-27,2025-01-02,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,0.806,1.166,0.0,2.865
virginia,ZPZMCRH2JSA3,"EZEFLOW USA, INC.",unbucketed,both,2017-06-23,2024-10-16,40,0.0,0.0,0.0,0.0,0.0,1.192,0.185,1.221,0.205,-0.173,-0.054,0.163,0.0,0.117,0.0,2.855
virginia,YA7EN5YYJYS8,"APOLLO PROFESSIONAL SOLUTIONS, INC.",unbucketed,both,2016-02-25,2021-05-03,30,0.0,0.0,0.0,0.0,1.12,0.553,0.66,0.485,0.144,-0.166,0.0,0.0,0.0,0.0,0.0,2.796
virginia,RK6GKSXPC8W7,ARNOLD MAGNETICS CORPORATION,electrical,both,2016-02-03,2024-11-21,24,0.0,0.0,0.0,0.0,0.361,0.874,0.0,0.239,0.435,-0.019,0.182,0.19,0.107,0.407,0.0,2.775
virginia,H4FZBFXLJ636,"TIMKEN COMPANY, THE",machining,Virginia-only,2016-06-14,2020-01-09,14,0.0,0.0,0.0,0.0,0.032,0.0,0.058,0.516,2.117,0.0,0.0,0.0,0.0,0.0,0.0,2.723
virginia,CU6NGN3UKFA6,OCEANEERING INTERNATIONAL INC,structural,both,2022-02-21,2025-04-16,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,1.393,0.929,0.333,0.0,2.69
virginia,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",unbucketed,both,2016-09-19,2025-05-23,44,0.0,0.0,0.0,0.0,1.357,0.261,0.169,0.354,0.222,0.001,0.0,0.254,0.035,0.035,0.0,2.688
virginia,WNDYZX3ALFB1,"COMARK, LLC",unbucketed,both,2017-09-19,2024-07-31,18,0.0,0.0,0.0,0.0,0.0,0.071,0.153,0.32,0.417,0.412,0.608,0.0,0.7,0.0,0.0,2.681
virginia,JRUCKDSNXKD5,THE ENTWISTLE COMPANY LLC,piping,both,2021-11-24,2023-10-23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.724,1.722,0.2,0.0,0.0,2.646
virginia,PQNBC8KG93R3,AMPHENOL CORPORATION,electrical,both,2020-03-09,2021-11-19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.003,0.0,0.0,0.0,0.0,2.613
virginia,YPQMZDVKS1K8,FLOWSERVE CORPORATION,piping,Virginia-only,2022-12-02,2024-09-05,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,2.124,0.0,0.0,2.594
virginia,XBVZKN1HH445,"OCEANEERING INTERNATIONAL, INC.",structural,both,2017-08-09,2022-01-10,11,0.0,0.0,0.0,0.0,0.0,0.369,0.488,1.143,0.052,0.129,0.377,0.0,0.0,0.0,0.0,2.559
virginia,R2D6XY1EM6J8,"SENSARAS, LLC",unbucketed,both,2016-04-25,2023-07-28,13,0.0,0.0,0.0,0.0,0.058,0.354,0.0,0.18,0.037,0.0,0.0,1.816,0.0,0.0,0.0,2.445
virginia,UU26FKF1MML6,BERKSHIRE HATHAWAY INC.,unbucketed,both,2018-01-30,2024-09-06,15,0.0,0.0,0.0,0.0,0.0,0.0,1.239,0.634,0.346,0.0,0.034,0.039,0.151,0.0,0.0,2.444
virginia,E86EYMJR23D1,"MELLINGER ENGINEERING, INCORPORATED",piping,both,2021-03-02,2024-09-26,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824,0.044,0.558,0.906,0.0,0.0,2.333
virginia,LNGAZMTYJPL3,THE ENTWISTLE TRUST,piping,Virginia-only,2016-02-16,2022-02-22,8,0.0,0.0,0.0,0.0,0.42,0.325,-0.033,0.0,0.466,0.195,0.957,0.0,0.0,0.0,0.0,2.331
virginia,PUVNWFNW5BG3,VETERANS GROUP LLC,structural,Virginia-only,2022-05-17,2025-01-17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.97,0.875,0.154,0.0,2.303
virginia,WN3KS9Z5JLK9,"PRECISION MACHINE & GEAR, INC.",unbucketed,both,2015-03-25,2019-10-28,36,0.0,0.0,0.0,0.104,0.761,0.206,0.596,0.605,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.274
virginia,D6GJGD1KMH25,"ANIXTER, INC",unbucketed,both,2024-04-26,2025-08-13,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547,1.696,0.0,2.243
virginia,KZGEJ29ND6K3,EVONIK CORPORATION,coatings,Virginia-only,2021-10-13,2025-01-06,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.117,0.993,0.1,0.0,2.228
virginia,W1LDBNHD4EM7,SCHLUMBERGER N.V.,unbucketed,both,2016-05-11,2019-10-01,25,0.0,0.0,0.0,0.0,0.037,0.83,1.246,0.064,0.042,0.0,0.0,0.0,0.0,0.0,0.0,2.218
virginia,SK3YCN3CHJD7,"PLASTIC DISTRIBUTORS & FABRICATORS, INC.",unbucketed,both,2016-08-24,2025-01-23,33,0.0,0.0,0.0,0.0,0.336,0.343,0.432,0.417,0.353,0.001,0.158,0.0,0.0,0.171,0.0,2.211
virginia,M1DFCE4G2PM8,"DEXTER APACHE HOLDINGS, INC.",unbucketed,both,2016-11-15,2019-02-18,13,0.0,0.0,0.0,0.0,0.0,1.077,1.055,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187
virginia,XPJVJCWTHYV6,ESCO GROUP INC,unbucketed,Virginia-only,2016-05-16,2023-09-27,4,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,2.147,0.0,0.0,0.0,2.159
virginia,EDNNTCM7SUS8,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",structural,both,2017-10-10,2021-06-30,12,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,2.142
virginia,UNG7G6S4JRA6,"5TH AXIS, LLC",unbucketed,both,2017-03-16,2024-07-23,12,0.0,0.0,0.0,0.0,0.0,0.135,0.026,0.123,0.0,1.239,0.0,0.454,0.158,0.0,0.0,2.136
