piid,in_scope_17,records,total_dollars,eb_dollars,eb_pct,hii_dollars,hii_pct,other_us_dollars,other_us_pct,foreign_dollars,foreign_pct,unknown_dollars,unknown_pct,top_pop_state,top_pop_state_pct,top_pop_city,top_pop_city_pct
N0017420F0274,no,4,3458964.0,0,0.0,0,0.0,3458964.0,100.0,0,0.0,0,0.0,MN,100.0,"MINNEAPOLIS, MN",100.0
N6264519F0518,no,13,3457462.88,0,0.0,0,0.0,3457462.88,100.0,0,0.0,0,0.0,HI,100.0,"PEARL HARBOR, HI",100.0
N4215823FST01,no,4,3433424.17,0,0.0,0,0.0,3433424.17,100.0,0,0.0,0,0.0,VA,100.0,"PORTSMOUTH, VA",100.0
N4008519F4502,no,12,3413107.5,0,0.0,0,0.0,3413107.5,100.0,0,0.0,0,0.0,NC,100.0,"CHERRY POINT, NC",100.0
N0038321FJL01,no,2,3401541.0,0,0.0,0,0.0,3401541.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
4Y01,no,68,3389532.87,0,0.0,0,0.0,3389532.87,100.0,0,0.0,0,0.0,NJ,106.0,"JOINT BASE MDL, NJ",111.56
N6449819F4239,no,1,3368977.56,0,0.0,0,0.0,3368977.56,100.0,0,0.0,0,0.0,VA,100.0,"CHESAPEAKE, VA",100.0
N0002425F8366,no,1,3341096.0,0,0.0,0,0.0,3341096.0,100.0,0,0.0,0,0.0,PA,100.0,"UNIVERSITY PARK, PA",100.0
M6700417F4013,no,9,3340290.05,0,0.0,0,0.0,3340290.05,100.0,0,0.0,0,0.0,GA,100.0,"ALBANY, GA",100.0
N0002408C4203,no,16,3310999.64,0,0.0,0,0.0,3310999.64,100.0,0,0.0,0,0.0,MA,100.0,"WALPOLE, MA",100.0
N0038320FJL03,no,2,3253487.0,0,0.0,0,0.0,3253487.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
M6700426F1001,no,2,3232695.0,0,0.0,0,0.0,3232695.0,100.0,0,0.0,0,0.0,FL,100.0,"JACKSONVILLE, FL",100.0
N0038322FZ505,no,4,3224546.21,0,0.0,0,0.0,3224546.21,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0016718F3000,no,4,3194325.07,0,0.0,0,0.0,3194325.07,100.0,0,0.0,0,0.0,MD,100.0,"BETHESDA, MD",100.0
N0038319FJL03,no,1,3181894.0,0,0.0,0,0.0,3181894.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
FG23,no,7,3155619.0,0,0.0,0,0.0,3155619.0,100.0,0,0.0,0,0.0,KY,100.0,"LOUISVILLE, KY",100.0
N0042123F1863,no,5,3153660.29,0,0.0,0,0.0,3153660.29,100.0,0,0.0,0,0.0,MD,100.0,"PATUXENT RIVER, MD",100.0
N0001424C1102,no,3,3138525.0,0,0.0,0,0.0,3138525.0,100.0,0,0.0,0,0.0,NY,100.0,"NIAGARA FALLS, NY",100.0
N0042122F0206,no,10,3135615.13,0,0.0,0,0.0,3135615.13,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0038318FJL0B,no,3,3111887.0,0,0.0,0,0.0,3111887.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0002407C4014,no,14,3102554.1,0,0.0,0,0.0,3102554.1,100.0,0,0.0,0,0.0,MA,100.0,"WALPOLE, MA",100.0
N0001925F2579,no,1,3093150.0,0,0.0,0,0.0,3093150.0,100.0,0,0.0,0,0.0,VA,100.0,"ARLINGTON, VA",100.0
N6945018F1414,no,4,3072467.0,0,0.0,0,0.0,3072467.0,100.0,0,0.0,0,0.0,FL,100.0,"JACKSONVILLE, FL",100.0
N0001924F0176,no,3,3071115.58,0,0.0,0,0.0,3071115.58,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
EH02,no,17,3068806.48,0,0.0,0,0.0,3068806.48,100.0,0,0.0,0,0.0,DC,100.0,"WASHINGTON NAVY YARD, DC",100.0
N4425524F4134,no,3,3030687.36,0,0.0,0,0.0,3030687.36,100.0,0,0.0,0,0.0,WA,100.0,"BREMERTON, WA",100.0
N4523A25P0301,no,7,2982601.01,0,0.0,0,0.0,2982601.01,100.0,0,0.0,0,0.0,WA,100.0,"BREMERTON, WA",100.0
M0026424P0008,no,6,2971139.0,0,0.0,0,0.0,2971139.0,100.0,0,0.0,0,0.0,VA,100.0,"QUANTICO, VA",100.0
N0001922F2151,no,1,2949021.38,0,0.0,0,0.0,2949021.38,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0001920F0221,no,3,2948307.74,0,0.0,0,0.0,2948307.74,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0003018C0023,no,1,2944000.0,0,0.0,0,0.0,2944000.0,100.0,0,0.0,0,0.0,CA,100.0,"SUNNYVALE, CA",100.0
N4523A20C5700,no,7,2929242.0,0,0.0,0,0.0,2929242.0,100.0,0,0.0,0,0.0,PA,100.0,"CHESWICK, PA",100.0
N4523A26P0302,no,3,2915564.0,0,0.0,0,0.0,2915564.0,100.0,0,0.0,0,0.0,WA,100.0,"BREMERTON, WA",100.0
N6274225F4014,no,1,2899305.4,0,0.0,0,0.0,2899305.4,100.0,0,0.0,0,0.0,HI,100.0,"PEARL HARBOR, HI",100.0
M6785422F0066,no,3,2883002.4,0,0.0,0,0.0,2883002.4,100.0,0,0.0,0,0.0,VA,100.0,"STAFFORD, VA",100.0
N4008524F4239,no,9,2875529.38,0,0.0,0,0.0,2875529.38,100.0,0,0.0,0,0.0,IL,100.0,"GREAT LAKES, IL",100.0
N4033920CF010,no,21,2865029.0,0,0.0,0,0.0,0,0.0,2865029.0,100.0,0,0.0,,0.0,,0.0
N4008525F2584,no,10,2857544.69,0,0.0,0,0.0,2857544.69,100.0,0,0.0,0,0.0,IL,100.0,"GREAT LAKES, IL",100.0
N0001925F0321,no,1,2814590.0,0,0.0,0,0.0,2814590.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N4008523F5753,no,5,2804052.0,0,0.0,0,0.0,2804052.0,100.0,0,0.0,0,0.0,NC,100.0,"CAMP LEJEUNE, NC",100.0
N0010424PNB45,no,1,2801579.0,0,0.0,0,0.0,2801579.0,100.0,0,0.0,0,0.0,VA,100.0,"CHESAPEAKE, VA",100.0
N0038324FZ50H,no,2,2794672.32,0,0.0,0,0.0,2794672.32,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0001919F2608,no,2,2782479.0,0,0.0,0,0.0,2782479.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
