program,vendor_uei,vendor_name,work_type,biw_dollars_fy22_25_$M,biw_n_awards_fy22_25,biw_first_award,ingalls_dollars_fy22_25_$M,ingalls_n_awards_fy22_25,ingalls_first_award,virginia_dollars_fy22_25_$M,virginia_n_awards_fy22_25,virginia_first_award,columbia_dollars_fy22_25_$M,columbia_n_awards_fy22_25,columbia_first_award,cut_profile
ddg,LNGAZMTYJPL3,THE ENTWISTLE TRUST,piping,0.0,0,,0.0,0,2013-07-19,,,,,,,window-inactive
ddg,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",castings,0.0,0,,0.0,0,2013-07-29,,,,,,,window-inactive
ddg,DZ8RD2EBBMK5,GENUINE PARTS COMPANY,unbucketed,0.0,0,,0.0,0,2019-08-15,,,,,,,window-inactive
ddg,PGNTKH2XZAN5,"DEFENSE TECHNOLOGIES, INC.",unbucketed,0.0,0,,0.0,0,2015-06-08,,,,,,,window-inactive
ddg,VCFNC31LV829,CRANE CO,piping,0.0,0,,0.0,0,2013-07-18,,,,,,,window-inactive
ddg,CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",unbucketed,0.0,0,,0.0,0,2013-09-25,,,,,,,window-inactive
ddg,P4NMA2SHLR53,"CORNET TECHNOLOGY, INC.",unbucketed,0.0,0,,0.0,0,2021-02-17,,,,,,,window-inactive
ddg,ZVCNH5GL1Z83,CORE ACTIVE FIXED INCOME,unbucketed,0.0,0,,0.0,0,2014-06-24,,,,,,,window-inactive
ddg,Q4LMAMECTR44,"CONNECTOR SPECIALISTS, INC.",unbucketed,0.0,0,,0.0,0,2017-06-16,,,,,,,window-inactive
ddg,GNFJGT9MKJW5,"CONNECTICUT VALLEY INDUSTRIES, LLC",unbucketed,0.0,0,,0.0,0,2013-07-26,,,,,,,window-inactive
ddg,KAJ2U4MCB329,"CHELSEA CLOCK, LLC, THE",unbucketed,0.0,0,,0.0,0,2016-07-18,,,,,,,window-inactive
ddg,LCTCMUR9KYB6,"CAJUN PROCESS SOLUTIONS, LLC",unbucketed,0.0,0,,0.0,0,2016-09-14,,,,,,,window-inactive
ddg,XE6GMDJNHQT7,AMPCO-PITTSBURGH CORPORATION,piping,0.0,0,,0.0,0,2013-06-27,,,,,,,window-inactive
ddg,VF58HFRNGEL8,GENERAL DYNAMICS CORPORATION,structural,0.0,0,,0.0,0,2018-03-02,,,,,,,window-inactive
ddg,R51XFNJFGCP8,"PLATINUM EQUITY, LLC",electrical,0.0,0,,0.0,0,2013-07-30,,,,,,,window-inactive
ddg,KFP8JR5HL191,ARA SERVICES LLC.,unbucketed,0.0,0,,0.0,0,2021-06-10,,,,,,,window-inactive
ddg,K1M4HECUHKR4,AEA EUROPE FUND L.P.,unbucketed,0.0,0,,0.0,0,2013-12-11,,,,,,,window-inactive
ddg,K783PK4DZEE3,"ADVANTEC MANUFACTURING USA, INC.",unbucketed,0.0,0,,0.0,0,2013-10-11,,,,,,,window-inactive
ddg,KH92FV2FJC26,"THRUSTMASTER OF TEXAS, INC.",unbucketed,0.0,0,2016-05-26,0.0,0,,,,,,,,window-inactive
ddg,CPSRQJC6C379,"SECURE COMPONENTS, LLC",unbucketed,0.0,0,2019-05-24,0.0,0,,,,,,,,window-inactive
ddg,QN84GSHNM1M7,"BACHARACH, INC.",unbucketed,0.0,0,2019-04-15,0.0,0,2020-01-24,,,,,,,window-inactive
ddg,LKXHMX1K3AC5,NATIONAL INSTRUMENTS CORPORATION,unbucketed,0.0,0,2018-06-01,0.0,0,,,,,,,,window-inactive
ddg,YK4TPH3YV3S3,MARITIME APPLIED PHYSICS CORP,unbucketed,0.0,0,2018-06-14,0.0,0,,,,,,,,window-inactive
ddg,F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.",unbucketed,0.0,0,2019-05-13,0.0,0,,,,,,,,window-inactive
ddg,UK5FSMFVWEH3,LGS INNOVATIONS LLC,unbucketed,0.0,0,2017-08-16,0.0,0,,,,,,,,window-inactive
ddg,FNDNN65LLG73,"INFINITE ELECTRONICS, INC.",unbucketed,0.0,0,2018-06-11,0.0,0,,,,,,,,window-inactive
ddg,LUEGYMGV9N31,"INGRAM TECHNOLOGIES, LLC",unbucketed,0.0,0,2017-04-28,0.0,0,,,,,,,,window-inactive
ddg,E86GJS762JJ5,TOTAL SA,coatings,0.0,0,2018-08-14,0.0,0,,,,,,,,window-inactive
ddg,NLXHHB71VMK5,REPUBBLICA ITALIANA,unbucketed,0.0,0,2016-08-31,0.0,0,,,,,,,,window-inactive
ddg,VVWBUNAVPF34,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,unbucketed,0.0,0,2019-04-17,0.0,0,,,,,,,,window-inactive
ddg,MLZGT2BJ4J13,"ENPRO INDUSTRIES, INC.",unbucketed,0.0,0,2018-12-14,0.0,0,,,,,,,,window-inactive
