fy,uei,vendor,foreign,amount_M,records
2023,GNH1FJWKY3G3,"WEST PHILA. BRONZE CO., INC",,0.2104,7
2023,XFM4VGW1NBE4,"L.C.DOANE COMPANY,THE",,0.2084,2
2023,HLQLWMV97J37,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,,0.2062,1
2023,ZVKEBJ4HQHB8,HEILIND MIL-AERO LLC,,0.2009,3
2023,CN4DJZSKM3Y3,"PENNSYLVANIA MACHINE WORKS, LLC",,0.1981,3
2023,F37ARTBC9UU6,SUPERBOLT INC,,0.1947,1
2023,M618ETNNYA77,DROITCOUR CO,,0.1929,4
2023,QPFMBXNMQM85,"AEROTEK AFFILIATED SERVICES, INC.",,0.1909,1
2023,SN8JQ8XJ55N9,"LOVEJOY, LLC",,0.1909,4
2023,VNC1NE44BXJ6,"TOTAL WELDING SUPPLY, INC.",,0.1904,1
2023,RK6GKSXPC8W7,ARNOLD MAGNETICS CORPORATION,,0.1900,1
2023,LP68L55MKK16,"AIRGAS USA, LLC",,0.1886,2
2023,UPMWNA8Y25L1,GEODETIC SERVICES INC.,,0.1875,2
2023,TSJLBQWEYD73,CUSTOM MAGNETICS OF CALIFORNIA INC,,0.1847,1
2023,Y3LKL3D6FNK9,VIABLE POWER CONVERSION TECHNOLOGIES INC,Yes,0.1846,1
2023,NYWQLNAXE9G4,"ISLAND HOSE & SEALS, INC.",,0.1833,1
2023,Z7K8HUMNCZ22,"TRIPLE CROWN CONSULTING, LLC",,0.1832,2
2023,DB33FU6GGYE7,BLACK KNIGHT ENTERPRISES LLC,,0.1800,3
2023,VE8ASCGN1188,"S & S FOREST PRODUCTS, LLC",,0.1797,3
2023,G9PZGNJ37323,LINEAR MOTION LLC,,0.1747,2
2023,JL9NMM3YALQ5,"TAD PGS, INC.",,0.1650,1
2023,E83TNKA9JCY6,AIR SYSTEMS COMPONENTS INC,,0.1647,1
2023,YFAKM74HKAT9,"RZ DESIGN ASSOCIATES, INC",,0.1635,1
2023,ZPZMCRH2JSA3,EZEFLOW USA INC,,0.1628,2
2023,Y32LYMHRGTL8,APPLIED PRODUCTS INC,,0.1613,2
2023,NG7TY7BYU9R7,"W. & O. SUPPLY, INC.",,0.1606,3
2023,NNNPMB5KA1V6,DENNEY PLASTICS MACHINING LLC,,0.1510,3
2023,HYNSUU4GPWA9,GLOBAL EXECUTIVE SOLUTIONS LLC,,0.1500,1
2023,KHN9PQ6VZ756,MIDSTATE INDUSTRIAL SUPPLY INC,,0.1482,1
2023,XBY5FEGMU441,THE TIMKEN COMPANY,,0.1477,1
2023,VKBFB8MAZ357,TITANIUM FABRICATION CORP,,0.1457,2
2023,Z7AEB4WP45P3,ITT INC,,0.1444,2
2023,SCEEGJW7XZE5,KAMAN CORP,,0.1384,2
2023,WW6HFEMKWPC5,"FRIES SPINNING & STAMPING, INCORPORATED",,0.1373,3
2023,U5DDDFM4LJS3,PRIME TECHNOLOGY LLC,,0.1331,2
2023,JHPXZQA4R1X1,"BLACK ROCK TECHNOLOGY GROUP, LLC",,0.1290,2
2023,V6FJCB53JDK7,"RURAL ROUTE 2, LLC",,0.1288,2
2023,NYPLGL4BKTS7,ESI ACQUISITION CORP,,0.1281,1
2023,FNQARYRJJEL5,COSPOLICH INC.,,0.1278,2
2023,F9SDJAZFTLG6,"HUNTINGTON INGALLS INDUSTRIES, INC",,0.1232,7
2023,V212U2BEGU37,"SAFARI MICRO, INC.",,0.1210,2
2023,LN8JD2HB57K5,"PATRIOT ELECTRONICS, INC.",,0.1208,2
2023,R7JLC1Y2PLJ1,SCHROEDER INDUSTRIES LLC,,0.1186,1
2023,MC9KZKMUD8F8,"AGGREKO, LLC",,0.1183,2
2023,XWWGV5ZMALW1,CHROMALOX INC,,0.1142,1
2023,FJAVFFKN2LE3,"WATTEREDGE, LLC",,0.1135,2
2023,RYVANEDADBK3,"METALTEK INTERNATIONAL, INC.",,0.1131,1
2023,E6H2BBJ1LD19,FORD & ULRICH INC,,0.1104,1
2023,E6KQEMMCJ9B6,"ATRENNE COMPUTING SOLUTIONS, LLC",,0.1102,1
2023,YLQMY5SGNE55,3M COMPANY,,0.1080,1
2023,TXHLDCPC95J3,C V TOOL COMPANY INC,,0.1054,7
2023,DKNUHVKSM6J3,A/Z CORPORATION,,0.1053,3
2023,U43WP4FHDJY3,MARINE ELECTRIC SYSTEMS INC,,0.1037,2
2023,MXALQCAPGHJ8,"AMET, INC.",,0.1000,1
2023,HNAKLNNSE339,"HOWELL LABORATORIES, INC.",,0.0995,1
2023,E86GJS762JJ5,TOTAL SA,,0.0971,1
2023,LWF3CB1HFZF3,I S C O CORPORATION,,0.0951,2
2023,M6CTHGC91RG4,"MARTINEZ AND TUREK, INC.",,0.0949,1
2023,RG3VUTDYFNF8,FLUIDYNE CORPORATION,,0.0934,2
2023,XLKTN1TLGB75,ELMA ELECTRONIC INC.,,0.0889,2
2023,KAFVDV3C5BN1,"321GANG, LLC",,0.0885,1
2023,T5PEM8N1QE25,AMRON INTERNATIONAL INC,,0.0879,1
2023,T9U5YKZRMHH5,"MANUFACTURER'S RUBBER & SUPPLY CO, INC.",,0.0878,1
2023,KBBCEKMXULK7,MEASUREMENT SYSTEMS INC,,0.0853,1
2023,P3NZJN8NQSB3,FORTUNE METAL FINISHING CORPORATION,,0.0840,1
2023,HFL7UADKYZ52,"BARNHART NORTHEAST, INC.",,0.0798,1
2023,FR7WWCCNBQZ6,DK MACHINE INC,,0.0729,2
2023,LW88Z8MMJHT3,"INSIGHT GLOBAL, LLC",,0.0718,5
2023,PLYSMJBAYE42,LORD CORPORATION,,0.0690,1
2023,GMHRX5DU4LS5,"AEROGO, INC",,0.0685,1
2023,Y5R2L8HWAUA8,"NAVUS AUTOMATION, INC.",,0.0684,1
2023,P33VWHC39MN5,ADMIRAL VALVE LLC,,0.0679,1
2023,HY9JJE3F4R25,"WOLLASTON ALLOYS, INC.",,0.0660,1
2023,E57FS3E4CQ19,DRS NAVAL POWER SYSTEMS INC,,0.0647,1
2023,MV7LRD46KGF7,NEWPORT NEWS NUCLEAR INC,,0.0643,4
2023,C1H7UWEXRVN7,HOTTINGER BRUEL & KJAER INC.,,0.0614,1
2023,G8HNS2EJYJU6,"BUFFALO MACHINES, INC.",,0.0613,1
2023,UUWJVAA5CK71,INSULATED WIRE INC.,,0.0603,1
2023,JTNDE6EBHL41,TRIDENT TECHNICAL COLLEGE,,0.0580,1
2023,V3GKQC7LZE37,FRED L HAWKINS CO INC,,0.0548,2
2023,Z7NHE6ADMH29,NIANTIC SEAL INC,,0.0540,1
2023,KBKCVLC65QL5,"KOIKE ARONSON, INC.",,0.0539,3
2023,YQXBZHMXEVE5,"THE MATHWORKS, INC.",,0.0536,1
2023,LTJZX6G2X7Z1,ASPEQ HEATING GROUP LLC,,0.0535,1
2023,DBQGN324ULK3,"W.W. GRAINGER, INC.",,0.0532,1
2023,PXB2X38X4V11,CONVERGINT TECHNOLOGIES LLC,,0.0514,1
2023,FLU4K8MGMZX7,"HITACHI, LTD.",,0.0500,3
2023,XBHNYVTCDQH8,UNIFIED2 GLOBAL PACKAGING GROUP LLC,,0.0500,1
2023,JP2VAK8RGNQ5,JONATHAN ENGINEERED SOLUTIONS CORP.,,0.0499,1
2023,UGQ9ZMC59WA6,"CABLEWORKS, INC.",,0.0497,1
2023,LRYRHNM7EHJ8,ITW FOOD EQUIPMENT GROUP LLC,,0.0482,1
2023,GHVMX1DLDAK6,"WURTH REVCAR FASTENERS, INC.",,0.0475,1
2023,Z31MCJ7P45T1,"CORE MANUFACTURING, LLC",,0.0464,1
2023,U6JRN865H4E3,TTI INC.,,0.0460,1
2023,YVBHN7GKLQ44,"GLENAIR, INC.",,0.0451,1
2023,XQ2FNSEVHWL1,GOODWIN-BRADLEY PATTERN CO INC,,0.0446,1
2023,FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,,0.0446,1
2023,TF2HVUYPRMV1,"CHASE SUPPLY, INC.",,0.0430,1
2023,C3B4GMUXK277,BOWMAR LLC,,0.0425,2
2023,DKWCJWBNHCL3,NCP COATINGS INC,,0.0420,1
2023,PDBCMAYNN1V8,"CUSTOM QUALITY SCAFFOLDING, INC.",,0.0407,2
2023,QT8MN8A81NB7,NGB CORP,,0.0404,1
2023,HB74FFGNFK17,THE DYSON CORPORATION,,0.0403,1
2023,GHH5AMJ8C896,PULSAFEEDER INC,,0.0397,1
2023,C1B6X8AADFB1,"COMSACO, LLC",,0.0395,1
2023,UU26FKF1MML6,BERKSHIRE HATHAWAY INC.,,0.0395,1
2023,W6SWKAS2DBE5,SHILOH INDUSTRIES INC,,0.0391,1
2023,GGKLKCCKVZ16,STEELCASE INC.,,0.0390,1
2023,C59LDR2KN4U6,"FIN-TECH, INC.",,0.0385,1
2023,TNSXP14JPJS3,EPSILON SYSTEMS SOLUTIONS INC,,0.0384,1
2023,PG7AZJQMRL27,"ASCO POWER TECHNOLOGIES, L.P.",,0.0383,1
2023,L6V2CGVQP844,RDF CORPORATION,,0.0380,1
2023,JU5GNH1H5FV6,DY4 INC,,0.0380,2
2023,K8W2J2DS9FN1,"SYNOPSYS, INC.",,0.0375,1
2023,TJGHTGTTVEA1,"SAFARI MICRO GOVERNMENT SOLUTIONS, LLC",,0.0358,1
2023,XWTZJC873626,KADANT UNAFLEX LLC,,0.0356,1
2023,GAJ1F3WQCWY5,"SHERWIN-WILLIAMS COMPANY, THE",,0.0354,1
2023,CZKYJKB7H9J7,"VEGAS FASTENER MANUFACTURING, LLC",,0.0353,1
2023,NFDVRDBAFR87,"B.W. ELLIOTT MANUFACTURING CO., LLC",,0.0338,1
2023,LKVHTENM62A5,SUPREME CORP,,0.0337,2
2023,JCY9NCTJF9J3,AIRSAN CORPORATION,,0.0332,2
2023,CP1HCZ82DJL7,NC PRECISION LLC,,0.0326,1
2023,EG67WFES7DT3,OMEGA ENGINEERING INC,,0.0322,1
2023,PRNKGJL4NQH1,OMEGA ENGINEERING INC,,0.0322,1
2023,V7GQF5M7C667,SOUTHERN GEAR & MACHINE INC,,0.0318,1
2023,V627Y8NS1JM1,MILCOTS LLC,,0.0305,1
2023,UPJ1ASYAGWH4,ALERT TUBING FABRICATORS INC.,,0.0300,1
2023,WF99GAJKQAL5,NTS LABS LLC,,0.0211,2
2023,C3L9A8H3TWG5,"AERO NAV LABORATORIES, INC.",,0.0187,1
2023,X3DBJSMT83N5,CLEVELAND-CLIFFS PLATE LLC,,0.0182,3
2023,FP3BYCCPHDN3,"LUMEN TECHNOLOGIES, INC.",,0.0171,1
2023,MGFUP827VKV2,"ROSS MACHINERY SALES, INC.",,0.0035,1
2023,DSBBDM96K6H6,RACER MACHINERY INTERNATIONAL INC.,Yes,0.0001,2
2023,FAZSFFE6CST9,PROGENY SYSTEMS LLC,,0.0000,2
2023,QLXAK6ZTDED8,"E2 ENGINEERS, LLC",,-0.0994,2
2023,FK17Z7DJWLL1,APCO TECHNOLOGIES SA,Yes,-13.4981,16
2023,FYUJEKH32UF5,"L.M. GILL WELDING & MANUFACTURING, L.L.C.",,-24.2785,19
2024,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,,196.8499,13
2024,W8PTMRME1496,LEONARDO SPA,,177.4731,32
2024,LSMBJZFLN8L9,ROSYTH ROYAL DOCKYARD LIMITED,Yes,61.2482,1
2024,N1PJDANWUJ61,SCOT FORGE COMPANY,,58.7765,84
2024,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,,56.8645,42
2024,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,,51.0430,15
2024,F2LEAK3EK9R3,GRAHAM CORP,,41.9091,7
2024,JEP5GQGFPUL9,PORTLAND VALVE LLC,,39.4818,31
2024,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,,39.2243,12
2024,KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",,35.0009,25
2024,UCWYBGRA11H1,"AUSTAL USA, LLC",,26.0122,6
2024,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",,24.6983,6
2024,HPDLRXR4FYX5,BAE SYSTEMS LAND & ARMAMENTS L.P.,,23.7620,8
2024,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",,22.0513,10
2024,RA8BS6AS7V54,GOODWIN STEEL CASTINGS LIMITED,Yes,20.0567,9
2024,TZVRTYNM3MN3,"PEGASUS STEEL, LLC",,19.4551,17
2024,HG5LNJAG4LU8,"HUNT VALVE COMPANY, INC.",,18.8124,20
2024,UHXFGP3DCRK7,HANSOME ENERGY SYSTEMS INC,,18.7257,5
2024,E8LNMDLEKM35,DC FABRICATORS INC,,18.1272,8
