LI,Class,Category,Bucket,FY,Best Value $M,Source PB,All Vintages
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2031,1777.679,PB2027,PB2027=1777.679
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2020,93.730,PB2022,PB2022=93.730
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2021,1.912,PB2023,"PB2022=1.912, PB2023=1.912"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2022,71.094,PB2024,"PB2022=71.094, PB2023=71.094, PB2024=71.094"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2023,111.407,PB2025,"PB2023=111.407, PB2024=111.407, PB2025=111.407"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2024,71.867,PB2026,"PB2023=71.867, PB2024=71.867, PB2025=71.867, PB2026=71.867"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2025,130.919,PB2027,"PB2023=135.115, PB2024=135.115, PB2025=135.115, PB2026=135.115, PB2027=130.919"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2026,124.346,PB2027,"PB2023=103.017, PB2024=103.017, PB2025=115.039, PB2026=124.346, PB2027=124.346"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2027,119.757,PB2027,"PB2023=130.849, PB2024=130.849, PB2025=143.712, PB2027=119.757"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2028,123.215,PB2027,"PB2024=107.845, PB2025=115.020, PB2027=123.215"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2029,131.606,PB2027,"PB2025=113.673, PB2027=131.606"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2030,174.506,PB2027,PB2027=174.506
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,Ordnance LLTM,2031,79.012,PB2027,PB2027=79.012
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2020,3.450,PB2022,PB2022=3.450
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2021,1.540,PB2023,"PB2022=1.540, PB2023=1.540"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2022,9.811,PB2024,"PB2022=9.811, PB2023=9.811, PB2024=9.811"
1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,EOQ,2023,0.641,PB2025,"PB2023=0.641, PB2024=0.641, PB2025=0.641"
