program,piid,work_type,vendor_uei,vendor_name,n_records,dollars
ddg,N0002418C2307,unbucketed,VD5WUGZUCJ44,"TRIPLE SON WHOLESALE TIMBER, INC.",2,0.24
ddg,N0002418C2307,unbucketed,W1LDBNHD4EM7,SCHLUMBERGER N.V.,2,0.182
ddg,N0002418C2307,unbucketed,WMKNZ361LYM4,"EVOQUA WATER TECHNOLOGIES, LLC",2,0.454
ddg,N0002418C2307,unbucketed,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",2,0.073
ddg,N0002418C2307,unbucketed,X51YWDJN2ED6,HORIZONS INCORPORATED,2,0.068
ddg,N0002418C2307,unbucketed,XFM4VGW1NBE4,"L.C.DOANE COMPANY,THE",2,1.275
ddg,N0002418C2307,unbucketed,XWTZJC873626,UIP INTERNATIONAL LLC,2,0.12
ddg,N0002418C2307,unbucketed,ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",2,0.092
ddg,N0002418C2307,unbucketed,ZVFUENFF77T1,TOTALENERGIES SE,2,0.111
ddg,N0002418C2307,unbucketed,CXZ9PUEZ5SQ7,BLACK & DECKER (U.S.) INC.,1,0.361
ddg,N0002418C2307,unbucketed,DA2CMNNJWSZ4,CAPTAIN FREDS SEA TRIAL SUPPORT LLC,1,0.051
ddg,N0002418C2307,unbucketed,DBQGN324ULK3,"W.W. GRAINGER, INC.",1,0.04
ddg,N0002418C2307,unbucketed,E383LRP25MY6,YOUNG ENGINEERING COMPANY INC.,1,0.035
ddg,N0002418C2307,unbucketed,EQ2TN2GMDFT5,"ADVANCED ACOUSTIC CONCEPTS, LLC",1,0.119
ddg,N0002418C2307,unbucketed,F99CKJDLYZR3,"WESCO DISTRIBUTION, INC.",1,0.035
ddg,N0002418C2307,unbucketed,FLU4K8MGMZX7,"HITACHI, LTD.",1,0.4
ddg,N0002418C2307,unbucketed,GGSLGRB5KXM6,PON HOLDINGS B.V.,1,0.28
ddg,N0002418C2307,unbucketed,GMVJD1H9JQX8,"MICROFLEX, INC.",1,0.032
ddg,N0002418C2307,unbucketed,HJG5ZSLCMTJ9,"MSA SAFETY SALES, LLC",1,0.09
ddg,N0002418C2307,unbucketed,HTHFAYHMJWT4,HEILIND ELECTRONICS INC,1,0.043
ddg,N0002418C2307,unbucketed,HTHZV61C5DV8,SYSCO CORPORATION,1,0.116
ddg,N0002418C2307,unbucketed,J683M8AF97Q5,ELLISON BRONZE INC,1,0.025
ddg,N0002418C2307,unbucketed,J6MHT1L54CG4,"DEZURIK, INC.",1,0.026
ddg,N0002418C2307,unbucketed,J7JGTBNSM619,MEGATOR CORPORATION,1,0.04
ddg,N0002418C2307,unbucketed,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,1,0.031
ddg,N0002418C2307,unbucketed,JDDMPNDNQ3L5,USBID INCORPORATED,1,0.053
ddg,N0002418C2307,unbucketed,JL4THZCMNKR7,JACKSON PLATING CO.,1,0.054
ddg,N0002418C2307,unbucketed,K1M4HECUHKR4,AEA EUROPE FUND L.P.,1,0.092
ddg,N0002418C2307,unbucketed,K7SAUMHPLDJ9,SIVYER STEEL CASTINGS LLC,1,0.102
ddg,N0002418C2307,unbucketed,KF3NGNBNQ271,"DELPHINUS ENGINEERING, INC.",1,0.03
ddg,N0002418C2307,unbucketed,KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",1,0.091
ddg,N0002418C2307,unbucketed,ML28DU1R7P77,MAUI ACQUISITION CORP.,1,0.064
ddg,N0002418C2307,unbucketed,MQDVMWB54XH4,"BOLLINGER SHIPYARDS, INC",1,0.028
ddg,N0002418C2307,unbucketed,NUMJXMNFTW19,SECHAN ELECTRONICS INC,1,0.064
ddg,N0002418C2307,unbucketed,PWYQJP152BE5,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",1,0.055
ddg,N0002418C2307,unbucketed,QLMUV48L7HP4,KADANT INC.,1,0.036
ddg,N0002418C2307,unbucketed,QXH3CKUV5KP8,"ASC ENGINEERED SOLUTIONS, LLC",1,0.026
ddg,N0002418C2307,unbucketed,RBANKF6MUJS9,"VEGAS FASTENER MANUFACTURING, LLC",1,0.044
ddg,N0002418C2307,unbucketed,RDFUGEUNVCN9,ASC ENGINEERED SOLUTIONS LLC,1,0.042
ddg,N0002418C2307,unbucketed,SZ4SDE9YK5E4,ONEX CORP,1,0.37
ddg,N0002418C2307,unbucketed,U6F2GHCNNH47,HEXCEL CORPORATION,1,0.139
ddg,N0002418C2307,unbucketed,UDMKPLHU8N48,US TOOL GRINDING INC,1,0.11
ddg,N0002418C2307,unbucketed,UU26FKF1MML6,BERKSHIRE HATHAWAY INC.,1,0.033
ddg,N0002418C2307,unbucketed,V32LJNFLKBT7,RFD BEAUFORT INC.,1,0.37
ddg,N0002418C2307,unbucketed,WF9TN8AWH8K5,HEICO CORP,1,0.119
ddg,N0002418C2307,unbucketed,WH4DRDKB7RR8,SYSTEMS ENGINEERING SUPPORT CO.,1,0.178
ddg,N0002418C2307,unbucketed,YPQMZDVKS1K8,FLOWSERVE CORPORATION,1,0.085
ddg,N0002418C2307,unbucketed,ZZG5TB4JCKE1,"KAHN AND COMPANY, INCORPORATED",1,0.027
ddg,N0002418C2307,structural,YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",48,11.562
ddg,N0002418C2307,structural,KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,42,7.914
ddg,N0002418C2307,structural,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",32,9.53
ddg,N0002418C2307,structural,KZA5CX3J8KE8,"IMIA, LLC",25,6.33
ddg,N0002418C2307,structural,KN4DLHTLNCS8,"J.F. LEHMAN & COMPANY, INC.",24,11.34
ddg,N0002418C2307,structural,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",23,8.7
ddg,N0002418C2307,structural,EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",21,4.641
ddg,N0002418C2307,structural,JGNYLKEPEBL4,"PEMCO-NAVAL ENGINEERING WORKS, INC.",21,1.021
ddg,N0002418C2307,structural,QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,17,31.589
ddg,N0002418C2307,structural,FFZLXPAQCMD8,WHITING DOOR MANUFACTURING CORP.,14,2.534
ddg,N0002418C2307,structural,JRHJJRY6DWK3,"CORNELL-CARR CO., INC.",14,3.313
ddg,N0002418C2307,structural,C8TMP34LW2L6,EVEREST KANTO CYLINDER LIMITED,11,0.449
ddg,N0002418C2307,structural,SQRKBV7ET8S9,ALFA LAVAL AB,11,8.988
ddg,N0002418C2307,structural,D2J1SSHB5EB7,THE HELLAN STRAINER CO,10,0.876
ddg,N0002418C2307,structural,X99SLLWX4NV1,"SUMMA HOLDINGS, INC.",10,0.986
ddg,N0002418C2307,structural,G7SQBKZNPRN4,"ACCU-FAB AND CONSTRUCTION, INC.",9,3.448
ddg,N0002418C2307,structural,PW9GWUTL4KV5,"US, INC.",9,0.69
ddg,N0002418C2307,structural,WAK3LFCLKJR4,BELL STEEL COMPANY,6,0.444
ddg,N0002418C2307,structural,JCAZB4Y7FTW2,WHITING DOOR EXPORT CORP.,5,1.109
ddg,N0002418C2307,structural,RM4TFABVLPX4,EVEREST KANTO CYLINDER LIMITED,5,0.362
ddg,N0002418C2307,structural,VBRHLB2HLEM4,PEERLESS MFG CO,5,0.24
ddg,N0002418C2307,structural,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,5,1.903
ddg,N0002418C2307,structural,EZN9VQG18FN1,"LAKE SHORE SYSTEMS, INC.",4,0.19
ddg,N0002418C2307,structural,VDGQNU1VJC64,XCHANGER MANUFACTURING CORPORATION,3,0.725
ddg,N0002418C2307,structural,XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",3,5.65
ddg,N0002418C2307,structural,HPDLRXR4FYX5,BAE SYSTEMS PLC,2,17.715
ddg,N0002418C2307,structural,NJBMT6E7P7B4,INTERNATIONAL WELDING & FABRICATION INC.,2,0.778
ddg,N0002418C2307,structural,C7QXDAE2EUN1,"GENERAL MARINE PRODUCTS, INC.",1,0.063
ddg,N0002418C2307,structural,CJCQB4PYB943,RELIANCE STEEL & ALUMINUM CO.,1,4.923
ddg,N0002418C2307,structural,E3YNKWRANZ18,"AQUA-CHEM, INC.",1,0.45
ddg,N0002418C2307,structural,EVZMB1757DW5,"STEELFAB, INC.",1,8.703
