rank,uei,vendor,foreign,amount_M_lifetime,records,fy_count,fys,piid_count,piids
849,NTC4AZ2FR2H4,STERETT HEAVY HAULING LLC,,0.3040,2,1,2022,1,N0002420C4468
850,PX7XVJDX7TZ7,VICOR CORP,,0.3027,4,4,"2018,2021,2022,2024",3,"N0002422C5500,N0017415C0009,N0017419C0004"
851,HQDAAL1XU6E4,"METLFAB, INC.",,0.3022,2,2,"2020,2024",2,"N0002420C5605,N0025324F0016"
852,M2C5RXHKEZG1,ARIZONA INDUSTRIAL HARDWARE INC,,0.3014,4,2,"2024,2025",2,"N0002420C5380,N0002424C5324"
853,YA8KKBJ6JSW7,KEMET CORPORATION,,0.3002,6,2,"2018,2020",1,N0002414C5114
854,ED16VKVTCHC8,ECI DEFENSE GROUP INC,,0.3000,1,1,2023,1,N0002413C2307
855,ZJYFSLD4MN55,SPIRAL METALS CORPORATION OF BATON ROUGE,,0.2995,2,1,2021,1,N0002420C4468
856,U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",,0.2992,8,2,"2023,2024",4,"N0002413C2307,N0002419C4452,N0002420C4400,N0002422C4485"
857,DPF6YLGU3CX5,"BANNEKER SUPPLY CHAIN SOLUTIONS, INC.",,0.2980,1,1,2015,1,N0002422C5500
858,EJBTN791CY87,"SYSTEM COMPONENTS, INC.",,0.2978,3,2,"2020,2021",1,N0002420C5310
859,N7SBZDESSGH4,HBD INDUSTRIES INC,,0.2969,5,1,2014,1,N0002412C5311
860,KDDQUJKFE8T9,DYNAMIC NON-DESTRUCTIVE TESTING INC.,,0.2966,3,1,2021,1,N0002420C4468
861,N2JRSLWD1BC5,"TTM TECHNOLOGIES, INC.",,0.2926,1,1,2023,1,N0002417C4109
862,K1DPN6MTLXF5,PROMETHEUS GLOBAL CORP,,0.2921,1,1,2023,1,N0002413C5116
863,EG67WFES7DT3,"CONCURRENT REAL-TIME, INC.",,0.2912,3,1,2024,1,N0002413C5116
864,RL6KA2EUSUC8,ABACUS INDUSTRIES INC,,0.2910,5,3,"2024,2025,2026",1,N0002418C2307
865,ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",,0.2906,6,5,"2020,2021,2022,2023,2024",3,"N0002415C5228,N0002416C5103,N0002418C2307"
866,TV7DV4DWF5H1,INNOVATIVE RACK & GEAR COMPANY,,0.2903,5,4,"2014,2016,2019,2021",3,"N0002412C5311,N0017415C0009,N0017419C0004"
867,GSBVJ9K2EJY5,"B.J.G. ELECTRONICS, INC.",,0.2887,7,6,"2017,2018,2019,2020,2021,2023",3,"N0002414C5106,N0002414C5114,N0002420C5380"
868,LXM1WU4Y1Q63,SMITHS INTERCONNECT INC,,0.2879,2,1,2025,1,N0002422C5500
869,JJRDPJY9GQA8,"FLETCHER CONSTRUCTION COMPANY, INC.",,0.2849,8,6,"2019,2021,2023,2024,2025,2026",2,"N0002413C2307,N0002418C2307"
870,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,,0.2842,3,2,"2017,2019",2,"N0002413C2307,N0002418C2307"
871,KNJ1EQ8L47U3,"RIGGS DISTLER & COMPANY, INC.",,0.2833,2,1,2024,1,N0002415C5151
872,LJLZRNS9DYC6,ANIXTER INC.,,0.2822,3,2,"2025,2026",1,N0002418C2307
873,CNFCT44W4LB8,"AFECO, INC.",,0.2816,2,1,2021,1,N0002420C4400
874,CUEJDFLK17F8,"LEWIS DIVING AND SALVAGE, INC.",,0.2804,2,1,2021,1,N0002420C4468
875,NR7CPKGJP5Y1,TE CONNECTIVITY CORPORATION,,0.2786,2,2,"2024,2025",1,N0002417C4109
876,XNR9ZJ9VKZG5,"TEMEKU TECHNOLOGIES, INC.",,0.2772,1,1,2023,1,N0002419C2322
877,CHNNG7Z26293,"BRYTECH, INC.",,0.2763,1,1,2018,1,N0002413C5132
878,FLN7GYVCS5M7,"BENDER CCP, INC.",,0.2762,4,1,2021,2,"N0002420C4400,N0017419C0004"
879,LHF8JEX7FJC5,"CONSOLIDATED RIGGING AND MARINE SUPPLY COMPANY,",,0.2758,4,2,"2021,2022",1,N0002420C4468
880,YB14MRKSYEN7,"CANFIELD ELECTRONICS, INC.",,0.2737,2,2,"2013,2014",1,N0002413C5314
881,HZ6EDXJ226C9,"HIGHLAND ASSOCIATES, LTD. ARCHITECTURE ENGINEERING INTERIOR DESIGN",,0.2721,4,2,"2018,2021",2,"N0002413C5132,N0002420C5105"
882,MK65JJV6UL95,AB SKF,,0.2708,4,2,"2020,2022",2,"N0017415C0009,N0017419C0004"
883,YNGDGAX2XXK9,WHITCRAFT LLC,,0.2707,1,1,2023,1,N0001918C1061
884,NSM9HXQMH5L3,NORCATEC LLC,,0.2703,2,1,2020,1,N0017415C0009
885,KAG7VEFLUZQ4,ROLLER BEARING CO OF AMERICA INC,,0.2701,2,1,2023,1,N0002420C5380
886,HC3DHL9DN8E6,PYRAMID SEMICONDUCTOR CORP,,0.2687,2,1,2018,1,N0002414C5114
887,MKRBJA6JXXS7,EMERSON ELECTRIC CO.,,0.2687,5,4,"2016,2019,2020,2022",2,"N0017415C0009,N0017419C0004"
888,TJ8GZV9Y1N54,VELOCITY ELECTRONICS CORP,,0.2684,1,1,2024,1,N0002422C5500
889,QHM2PDDGFVN5,"ES BETA, INC.",,0.2683,4,4,"2021,2022,2023,2025",1,N0002420C5605
890,EGAVSJTA2D81,RAYTHEON COMPANY,,0.2676,5,3,"2023,2024,2025",4,"N0002413C5116,N0002418C2305,N0002418C2307,N0002420C4400"
891,X2JVS5VV3CG8,POLYMER CORPORATION,,0.2673,2,2,"2025,2026",1,N0002422C5500
892,SR3LHBBRZ6Q1,"CENTRAL PRECISION, INC.",,0.2644,3,2,"2020,2024",2,"N0002420C5605,N0025324F0016"
893,TKM6MD39WER8,MULTISOURCE MANUFACTURING LLC,,0.2640,3,2,"2014,2016",2,"N0002412C5311,N0017415C0009"
894,WA6MBG28BUQ5,"PPG INDUSTRIES, INC.",,0.2629,4,4,"2019,2021,2022,2023",3,"N0002415C4103,N0002419C2322,N0002420C5380"
895,CAKDNG6JYCG7,R. CANUSO CO.,,0.2617,4,2,"2021,2022",1,N0002414C5114
896,FMRSZ8FK4CZ4,"PADOVA TECHNOLOGIES, INC.",,0.2611,2,2,"2025,2026",1,N0002420C5519
897,GHTVLPBYFPV4,"MID-ATLANTIC COMPUTER SERVICES, LLC",,0.2601,1,1,2024,1,N0025324F0016
