rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
106,NVPEBL51CSF8,"GUILL TOOL & ENGINEERING CO, INC.",7.599,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,29030,USA,ok
107,ZFQBUPK552C3,THE H R HILLERY COMPANY,7.3617,332312,Fabricated Structural Metal Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,2D921,USA,ok
108,G319AMB56SW5,GRAYCLIFF PARTNERS LP,7.3241,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,1NPW9,USA,ok
109,LG88NCWJ3A95,"YOUNG ENGINEERING & MANUFACTURING, INC.",7.2724,332420,Metal Tank (Heavy Gauge) Manufacturing,33,3324,Manufacturing — Machinery/Electronics/Transport Eq,0GFE1,USA,ok
110,RYRLL49HWN65,BAKER SHEET METAL CORPORATION,7.0863,332322,Sheet Metal Work Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,3D527,USA,ok
111,NSWQJBEZZD83,SOPHEON CORPORATION,6.9044,513210,Software Publishers,51,5132,Information,105Y5,USA,ok
112,E86GJS762JJ5,TOTAL SA,6.8713,424710,Petroleum Bulk Stations and Terminals ,42,4247,Wholesale Trade,FAQE4,FRA,ok
113,PBC2VH3ND3D4,"CP INDUSTRIES HOLDINGS, INC",6.8546,,,,,Unknown,,,not_found
114,LPWJLN5JQPW4,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,6.8091,,,,,Unknown,,,not_found
115,WAJ6RKYZTYL3,"C. & C. METALS ENGINEERING, INC.",6.6181,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,1V8V4,USA,ok
116,HSV2N9ACRTJ6,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,6.6039,332911,Industrial Valve Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,15187,USA,ok
117,F9SDJAZFTLG6,"HUNTINGTON INGALLS INDUSTRIES, INC",6.2779,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,6BTC1,USA,ok
