program,vendor_key_uei,entity_uei,parent_uei,vendor_name,dollars_fy22_25_$M,dollars_all_$M,n_awards,naics4,current_basis,cum_unbucketed_fy22_25_$M,cum_share_of_supplier_fy22_25
submarines,KK4TAQ8YKEY6,EV14UZ7SCKG5,KK4TAQ8YKEY6,WINWHOLESALE INC.,0.0,0.133,2,,residual,183.819,0.044
submarines,ZKYHLH1VELN7,JEH3MF4P6N78,ZKYHLH1VELN7,Munters Group AB,0.0,0.072,1,,residual,183.819,0.044
submarines,NTP7NWDS9Y49,NTP7NWDS9Y49,NTP7NWDS9Y49,"MSC INDUSTRIAL DIRECT CO., INC.",0.0,0.1,4,,residual,183.819,0.044
submarines,HJG5ZSLCMTJ9,FDMCABKJFNE8,HJG5ZSLCMTJ9,MSA SAFETY INCORPORATED,0.0,2.512,13,3391,residual,183.819,0.044
submarines,WMCUE58SZBD3,WMCUE58SZBD3,WMCUE58SZBD3,MILLER ELECTRIC MFG. CO.,0.0,0.303,1,,residual,183.819,0.044
submarines,PCELDZMEAL25,PCELDZMEAL25,,"MICROPORE, INC.",0.0,0.274,2,,residual,183.819,0.044
submarines,H5MUP1BXBAB1,H5MUP1BXBAB1,,"Metro Business Systems, Inc.",0.0,0.109,1,,residual,183.819,0.044
submarines,XH9ADBLZRMF1,XH9ADBLZRMF1,,MELLINGER ENGINEERING GROUP LLC,0.0,5.231,19,,residual,183.819,0.044
submarines,X62UR1BYLVG1,E844ZKYNKDX4,X62UR1BYLVG1,E. I. DU PONT DE NEMOURS AND COMPANY,0.0,0.107,2,,residual,183.819,0.044
submarines,JALPQSJHLBV5,E844ZKYNKDX4,JALPQSJHLBV5,Dowdupont Inc.,0.0,0.068,1,,residual,183.819,0.044
submarines,UZMKDFWHKTC9,UZMKDFWHKTC9,,"Maro Display, Inc.",0.0,1.453,11,,residual,183.819,0.044
submarines,C1CCV2BRQJ26,C1CCV2BRQJ26,,MARINE EQUIPMENT AND ENGINEERING SOLUTIONS LLC,0.0,1.466,8,,residual,183.819,0.044
submarines,D3NDZT2XLW83,D3NDZT2XLW83,,"MARINE AIR SUPPLY CO., INC.",0.0,0.18,8,,residual,183.819,0.044
submarines,GYDNLMKBK274,GYDNLMKBK274,GYDNLMKBK274,"MARCO GROUP INTERNATIONAL, INC.",0.0,0.209,5,,residual,183.819,0.044
submarines,SJHFCDGKJJC5,LGM4LM5ZR9K9,SJHFCDGKJJC5,LUNA INNOVATIONS INCORPORATED,0.0,0.179,2,,residual,183.819,0.044
submarines,D3QEMKB2X4N5,D3QEMKB2X4N5,,"LEXAIR, INC.",0.0,0.075,2,,residual,183.819,0.044
submarines,LK9BTBWNLY96,LK9BTBWNLY96,,LEVEL ONE FASTENERS,0.0,0.249,4,,residual,183.819,0.044
submarines,VK1WGWEKJRS4,ZXGBKBLTY7F1,VK1WGWEKJRS4,Morris Capital Management LLC,0.0,0.052,1,,residual,183.819,0.044
submarines,YUHMEUENEET4,YUHMEUENEET4,,Lawrence Leasing Corp.,0.0,0.189,2,,residual,183.819,0.044
submarines,TM8BK53JMDF4,RBJHSL4MK9M8,TM8BK53JMDF4,LANXESS SOLUTIONS US INC.,0.0,2.998,6,,residual,183.819,0.044
submarines,XXP4PLFFFGK9,PTMFLMD2CUB4,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",0.0,21.526,50,3342,residual,183.819,0.044
submarines,DTZJAQF8NZA1,WPP2ABN6UCF5,DTZJAQF8NZA1,"L-3 Communications Holdings, Inc.",0.0,1.176,6,3342,residual,183.819,0.044
submarines,E5LZDXKKRKE3,M467BSNHK9J8,E5LZDXKKRKE3,NIDEC CORPORATION,0.0,0.038,1,,residual,183.819,0.044
submarines,QLMUV48L7HP4,L6EMG925NF78,QLMUV48L7HP4,Kadant Inc.,0.0,0.105,3,,residual,183.819,0.044
submarines,MUDRJ4V89NN8,TL9AYFLSQ189,MUDRJ4V89NN8,Constellations Enterprise LLC,0.0,0.044,1,,residual,183.819,0.044
submarines,JG24FKGD5Z77,JG24FKGD5Z77,JG24FKGD5Z77,"JOHN WATTS ASSOCIATES, INC.",0.0,0.081,1,,residual,183.819,0.044
submarines,Z3KHMUV8E999,Z3KHMUV8E999,,"JAN ELECTRONIC SUPPLIES, INC.",0.0,0.531,16,,residual,183.819,0.044
submarines,MC45MKDJLGK6,MC45MKDJLGK6,,J J U DISTRIBUTORS INC,0.0,0.036,1,,residual,183.819,0.044
submarines,PVUKF83PZZM6,PVUKF83PZZM6,,"INTEGRO, LLC",0.0,0.418,3,,residual,183.819,0.044
submarines,KKRWXEQ9FVU6,KKRWXEQ9FVU6,,"HURLEY CONSTRUCTION, INC.",0.0,1.838,3,,residual,183.819,0.044
submarines,JQHDLX7VEUC1,JQHDLX7VEUC1,,"HUISH OUTDOORS, LLC",0.0,0.505,3,,residual,183.819,0.044
submarines,CFLHPEP9NMU4,CFLHPEP9NMU4,,HUBBS MACHINE & MANUFACTURING,0.0,0.264,6,,residual,183.819,0.044
submarines,FMKADN1KAXH6,FMKADN1KAXH6,FMKADN1KAXH6,"HOSE-MCCANN TELEPHONE CO., INC.",0.0,0.03,1,,residual,183.819,0.044
submarines,PFUMVMAUF5K2,E144Y6P6NLN9,PFUMVMAUF5K2,THG CORPORATION,0.0,0.326,2,,residual,183.819,0.044
submarines,H33DK44BJZE1,H33DK44BJZE1,H33DK44BJZE1,HAWTHORNE MACHINERY CO.,0.0,0.431,4,,residual,183.819,0.044
submarines,M4GAZLHBK7W5,HJ7KCZ68G3N3,M4GAZLHBK7W5,Aea Investors LP,0.0,0.03,1,,residual,183.819,0.044
submarines,ZKKURBCSEX58,JN14RTY2BEZ5,ZKKURBCSEX58,Opus Investment SARL,0.0,0.399,4,,residual,183.819,0.044
submarines,LGL1LNBH8KM5,LGL1LNBH8KM5,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",0.0,0.102,3,,residual,183.819,0.044
submarines,WP8LRX9KNTC4,Y4ESA8L3JAD9,WP8LRX9KNTC4,"GRAYBAR ELECTRIC COMPANY, INC.",0.0,0.101,2,,residual,183.819,0.044
submarines,Y7HTALFZANK8,Y7HTALFZANK8,,"GENERAL MACHINE AND TOOL COMPANY, INC.",0.0,0.193,2,,residual,183.819,0.044
submarines,QATEDMDR46E4,M4ANYAZ8Q6H8,QATEDMDR46E4,Fortive Corporation,0.0,0.384,20,,residual,183.819,0.044
submarines,JRZ1WHXAKBM3,HVK6DCBLUCP7,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,0.0,0.358,5,,residual,183.819,0.044
submarines,H6DDCK12JBM7,MFGMH9R7GMG3,H6DDCK12JBM7,"SIRIUS COMPUTER SOLUTIONS, INC.",0.0,0.233,5,,residual,183.819,0.044
submarines,QJCBMJ8NX5P5,QJCBMJ8NX5P5,,"FOAMPAK, INC.",0.0,0.203,2,,residual,183.819,0.044
submarines,SBJMSMKJ9M93,SBJMSMKJ9M93,,"Fitchburg Welding Co., Inc.",0.0,0.292,6,,residual,183.819,0.044
submarines,HJEXMNM5EJE5,HJEXMNM5EJE5,HJEXMNM5EJE5,F. W. WEBB COMPANY,0.0,0.126,3,,residual,183.819,0.044
submarines,M7B8XCG21XV3,TZLXM3NCC7D1,M7B8XCG21XV3,EXIDE TECHNOLOGIES,0.0,12.673,3,,residual,183.819,0.044
submarines,CBB5ZBL4F2G3,CBB5ZBL4F2G3,,ENVIRONMENTAL CONTAINMENT SYSTEMS LLC,0.0,0.2,13,,residual,183.819,0.044
submarines,X8JFENV4HTS5,KK9HWTR6SM49,X8JFENV4HTS5,SSS Management Corp,0.0,1.22,11,,residual,183.819,0.044
submarines,UES5F4AAZJK5,UES5F4AAZJK5,UES5F4AAZJK5,"DONALDSON COMPANY, INC.",0.0,0.52,5,,residual,183.819,0.044
submarines,UJMKRGKNXML7,UJMKRGKNXML7,UJMKRGKNXML7,DIEBOLT & COMPANY,0.0,0.074,1,,residual,183.819,0.044
submarines,CBY1P9UHMVK1,CBY1P9UHMVK1,,"D.S. SEWING, INC.",0.0,0.236,5,,residual,183.819,0.044
submarines,FKE7YM75FN66,FKE7YM75FN66,,"D&D FILTRATION CONSULTANTS & SUPPLIERS, INC.",0.0,0.098,3,,residual,183.819,0.044
submarines,NDF9CNKGHWR3,NDF9CNKGHWR3,,"CURTIS UNIVERSAL JOINT CO, INC.",0.0,0.066,1,,residual,183.819,0.044
submarines,M1DFCE4G2PM8,V73QNVKJWAJ9,M1DFCE4G2PM8,"DEXTER APACHE HOLDINGS, INC.",0.0,2.653,16,,residual,183.819,0.044
submarines,VCFNC31LV829,ZJYJB7MBFE56,VCFNC31LV829,CRANE CO,0.0,0.453,2,,residual,183.819,0.044
submarines,LV9KTAW8RSA3,LV9KTAW8RSA3,,Continental Emsco Company (inc),0.0,0.028,1,,residual,183.819,0.044
submarines,RBJHSL4MK9M8,RBJHSL4MK9M8,RBJHSL4MK9M8,CHEMTURA CORPORATION,0.0,1.771,4,,residual,183.819,0.044
submarines,DNDLL934GK55,PHZDZ8SJ5CM1,DNDLL934GK55,Cdw Corporation,0.0,0.612,8,,residual,183.819,0.044
submarines,X25CWCMUL417,X25CWCMUL417,,"CARLLO, INC.",0.0,0.28,2,,residual,183.819,0.044
submarines,E9B7STE3MUX9,E9B7STE3MUX9,E9B7STE3MUX9,"C.I.L. Electroplating, Inc.",0.0,0.006,4,,residual,183.819,0.044
submarines,KK9MJ7GHSJ96,VXJMLWN9XU18,KK9MJ7GHSJ96,BRADKEN LIMITED,0.0,1.493,4,,residual,183.819,0.044
submarines,DGRNR5KG8QU1,WQ8LDD3N2K24,DGRNR5KG8QU1,"BRADDOCK METALLURGICAL, INC",0.0,0.069,15,,residual,183.819,0.044
submarines,T68XSQLJ53F5,TFBXC11G77F3,T68XSQLJ53F5,Black Box Corporation,0.0,0.158,3,,residual,183.819,0.044
submarines,GL8XT6HAWLK1,GL8XT6HAWLK1,GL8XT6HAWLK1,BHI ENERGY I POWER SERVICES LLC,0.0,0.274,4,,residual,183.819,0.044
submarines,KKPLLYQNK495,KKPLLYQNK495,,"BARTOL HEATING AND COOLING, INC.",0.0,0.063,1,,residual,183.819,0.044
submarines,M2MJR8KTEQU9,KDKVNQBN2Q53,M2MJR8KTEQU9,BARNHART CRANE AND RIGGING CO.,0.0,0.515,7,,residual,183.819,0.044
submarines,PA1YD43KKTW3,RDM6SEMM2WB4,PA1YD43KKTW3,INA-Holding Schaeffler GmbH & Co. KG,0.0,1.089,5,,residual,183.819,0.044
submarines,KM5NRZNTUDY8,L5YANW2XSND4,KM5NRZNTUDY8,ACTUANT CORPORATION,0.0,3.142,19,,residual,183.819,0.044
submarines,PQ7FJYK7LNM6,PQ7FJYK7LNM6,,B M F TORQUE WRENCH COMPANY,0.0,0.031,1,,residual,183.819,0.044
submarines,MCZLJUKD4BD4,MWCVNKNHLF53,MCZLJUKD4BD4,ALLEGHENY TECHNOLOGIES INCORPORATED,0.0,0.543,5,,residual,183.819,0.044
submarines,H4ZMPGLLZ8D9,H4ZMPGLLZ8D9,H4ZMPGLLZ8D9,"ARTCRAFT FABRICATORS, INC.",0.0,0.636,12,,residual,183.819,0.044
submarines,J3HWENQMNG69,J3HWENQMNG69,J3HWENQMNG69,"ARCADIA MANUFACTURING GROUP, INC.",0.0,0.309,9,,residual,183.819,0.044
