Subawardee UEI,Program,Subawardee Vendor Name,Parent UEI,Parent Vendor Name,Parent UEI(s)
T2VFE1NGR3G5,DDG,"DRS TRAINING & CONTROL SYSTEMS, LLC",W8PTMRME1496,LEONARDO SPA,W8PTMRME1496
LN9YKAX66918,DDG,"KULITE SEMICONDUCTOR PRODUCTS, INC",LN9YKAX66918,"KULITE SEMICONDUCTOR PRODUCTS, INC",LN9YKAX66918
C1NAJQ34VWM5,DDG,CAMERON ENERGY SERVICES CORP.,,,
JK16ZQ9FRJ51,DDG,TAVERNIER DIDIER,,,
CBMZJ3Z5SC89,DDG,GOODRICH CORPORATION,PPLZG8J3N9D4,RAYTHEON TECHNOLOGIES CORPORATION,EGAVSJTA2D81; PPLZG8J3N9D4
C7QXDAE2EUN1,DDG,"GENERAL MARINE PRODUCTS, INC.",,,
DKJ1R5ABCN48,DDG,SERCO INC.,FC3YWXFNT7U6,SERCO GROUP PLC,FC3YWXFNT7U6
NL7RNBHWHJQ1,DDG,DRS TECHNOLOGIES CANADA LTD,W8PTMRME1496,LEONARDO SPA,W8PTMRME1496
W2GBUE64GMZ6,DDG,"DERBYSHIRE MARINE PRODUCTS, LLC",,,
JKPCAKFW8X93,DDG,AMERICAST TECHNOLOGIES INC,FLU4K8MGMZX7,"HITACHI, LTD.",FLU4K8MGMZX7
WPP2ABN6UCF5,DDG,"L3 TECHNOLOGIES, INC.",XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",XXP4PLFFFGK9
NJBMT6E7P7B4,DDG,INTERNATIONAL WELDING & FABRICATION INC.,NJBMT6E7P7B4,INTERNATIONAL WELDING & FABRICATION INC,NJBMT6E7P7B4
T99DCLB5NRH7,DDG,"OCENCO, INCORPORATED",T99DCLB5NRH7,"OCENCO, INCORPORATED",T99DCLB5NRH7
PDZUR2FMYD89,DDG,"RANGER ENVIRONMENTAL SERVICES, LLC",PDZUR2FMYD89,RANGER ENVIRONMENTAL SERVICES LLC,PDZUR2FMYD89
MYJHF1S2HGV5,DDG,"EPSILON SYSTEMS SOLUTIONS, INC.",G4PWHUXGV5K5,,G4PWHUXGV5K5; KFP1XYK24DZ8; MYJHF1S2HGV5
KK9FFUUML8N1,DDG,ABC APPLICATORS INC,N1UBBGCNNB38,,N1UBBGCNNB38
REXPSJ7NAHU8,DDG,DERBYSHIRE MACHINE & TOOL CO,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,REXPSJ7NAHU8
LQP7LJVDX6M6,DDG,"WESCO DISTRIBUTION, INC.",LU7KP9UJJ5L7,"WESCO INTERNATIONAL, INC.",LU7KP9UJJ5L7
WAK3LFCLKJR4,DDG,BELL STEEL COMPANY,WAK3LFCLKJR4,BELL STEEL COMPANY,WAK3LFCLKJR4
