program,piid,vessel_class,builder,work_type,first_award,last_award,n_vendors,repeat_award_share,shared_vendor_pct,shared_vendor_pct_family,dollars_total,d_le_fy12,d_fy2013,d_fy2014,d_fy2015,d_fy2016,d_fy2017,d_fy2018,d_fy2019,d_fy2020,d_fy2021,d_fy2022,d_fy2023,d_fy2024,d_fy2025,d_fy2026,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
columbia,N0002419C2115,Columbia,BPMI,electrical,2019-01-31,2021-03-31,2,1.0,1.0,1.0,89.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.585,29.003,20.558,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,8,2,5,0,0,0,0,0,15
columbia,N0002419C2115,Columbia,BPMI,unbucketed,2019-01-31,2021-03-31,6,0.8,0.8333,0.8333,16.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.45,0.292,4.381,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,8,1,6,0,0,0,0,0,15
columbia,N0002419C2115,Columbia,BPMI,piping,2019-01-31,2021-03-31,4,0.8889,1.0,1.0,49.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.441,0.0,23.617,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,9
columbia,N0002419C2115,Columbia,BPMI,machining,2019-03-29,2021-03-31,1,1.0,1.0,1.0,10.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.159,0.295,3.683,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,4
columbia,N0002419C2115,Columbia,BPMI,structural,2019-01-31,2021-03-31,2,0.0,1.0,1.0,7.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233,0.0,6.127,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
columbia,N0002419C2114,Columbia,BPMI,unbucketed,2019-01-31,2021-04-30,8,0.75,0.625,0.75,22.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.616,0.0,9.899,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,16
columbia,N0002419C2114,Columbia,BPMI,piping,2019-01-31,2021-03-31,4,0.7778,1.0,1.0,54.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.482,0.419,21.034,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,9
columbia,N0002419C2114,Columbia,BPMI,electrical,2019-01-31,2021-03-31,2,1.0,1.0,1.0,18.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,14.793,2.172,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,7
columbia,N0002419C2114,Columbia,BPMI,machining,2019-01-31,2021-03-31,2,0.75,0.5,0.5,12.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.489,0.0,8.757,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4
columbia,N0002419C2114,Columbia,BPMI,structural,2019-01-31,2019-01-31,1,0.0,1.0,1.0,1.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
