uei,name,sub_parent_uei,dollars,records,programs,foreign
RFLNANKKZYV5,SAS INSTITUTE INC.,RFLNANKKZYV5,73958.40,1,ddg,
UJMKRGKNXML7,DIEBOLT & COMPANY,UJMKRGKNXML7,73536.00,1,ddg,
HCMDAVBWRFL8,BECKWITH & KUFFEL INC,HYHVBGYX5C51,73428.00,2,ddg,
JFN9TTCMKQH8,"TEXSTARS, LLC",WA6MBG28BUQ5,73366.00,1,ddg,
KCDDKU78L9P7,CHASE CORPORATION,KCDDKU78L9P7,72773.00,1,ddg,
LCTCMUR9KYB6,"CAJUN PROCESS SOLUTIONS, LLC",,72517.58,2,ddg,
JEH3MF4P6N78,MUNTERS CORPORATION,ZKYHLH1VELN7,72268.00,1,ddg,
EPK7A98BB4B6,"HEILIND MIL-AERO, LLC",HTHFAYHMJWT4,71983.50,3,ddg,
GDK9ANY21DY6,"TEAM HOUSING SOLUTIONS, INC.",GDK9ANY21DY6,71820.00,1,ddg,
QJ8GDNZ7RMC5,MCMASTER-CARR SUPPLY COMPANY,C1FCEKJP7F91,71400.00,4,ddg,
S3K7JVUM7D39,"SPECIALIZED MACHINERY TRANSPORT, INC.",,70970.00,1,ddg,
E6ACL8BWKN47,"ENERGY FOCUS, INC.",E6ACL8BWKN47,70500.00,1,ddg,
FSLFH89RJE91,"TECHNOLOGY SERVICES & SAFETY SOLUTIONS, INC.",,69660.00,1,ddg,
REDAH61ZHLN7,TRI TOOL INC,REDAH61ZHLN7,69650.00,1,ddg,
Q3HHLUDK4ED3,Abrasive Products LLC,,69600.00,1,ddg,
J496QWE2LK33,LORD CORPORATION,PLYSMJBAYE42,68972.76,1,ddg,
CUJ6JZJFLMQ8,"VECTOR SOFTWARE, INC.",P3S2F1HKFDM4,68831.60,2,ddg,
GMHRX5DU4LS5,"AEROGO, INC",GMHRX5DU4LS5,68550.00,1,ddg,
DY2JXQ22MA14,KSARIA SERVICE CORPORATION,,68281.70,1,ddg,
MNS7TJ9KVTJ1,"HDT EXPEDITIONARY SYSTEMS, INC.",SPJDDHTQBSY9,67797.00,1,ddg,
K7L6DELLDU47,"GULF SALES AND SUPPLY, INCORPORATED",,66845.00,2,ddg,
UP6CM5LVP5G3,"WARNER SPECIALTY PRODUCTS, INC.",,66632.00,1,ddg,
NDF9CNKGHWR3,"CURTIS UNIVERSAL JOINT CO, INC.",,66420.16,1,ddg,
G44XUJLFP3A1,TANDEMLOC INC.,,66132.36,2,ddg,
