Program,Prime PIID,Subawardee UEI,Subawardee Vendor Name,Reports,Distinct Subaward Numbers,Correction Actions,First Action,Last Action,Activity Span (Years),Net Subaward $M (FY2026$)
DDG,N0002413C2305,V32LJNFLKBT7,RFD BEAUFORT INC.,,2,,,,,
DDG,N0002413C2305,GCDKJTM3RJX6,"RAPID DEPLOYABLE SYSTEMS, INC",,2,,,,,
DDG,N0002413C2305,YHGHMGTME7A5,HOWDEN AMERICAN FAN COMPANY,,5,,,,,
DDG,N0002413C2305,FWF8QBPCGLG3,GENERAL TOOL COMPANY,,3,,,,,
DDG,N0002413C2305,F98TZC6J5XV1,ARC TECHNOLOGIES LLC,,2,,,,,
DDG,N0002413C2305,MEMSWT1LFU18,JERED LLC,,5,,,,,
DDG,N0002413C2305,KHK8QYLFGLU1,Rolls-Royce Corporation,,2,,,,,
DDG,N0002413C2305,YYVHWZMPP3F8,"DRS NAVAL POWER SYSTEMS, INC.",,1,,,,,
DDG,N0002413C2305,ZW3UMG9YVNA9,L-3 COMMUNICATIONS WESTWOOD CORPORATION,,2,,,,,
DDG,N0002413C2305,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",,2,,,,,
DDG,N0002413C2305,T4RCBDVMPVM4,"MEGGITT DEFENSE SYSTEMS, INC.",,3,,,,,
DDG,N0002413C2305,SSD8KRDXKG46,"HILLER COMPANIES, INC., THE",,1,,,,,
DDG,N0002413C2305,ERR4X5JLJWV5,"NCP COATINGS, LLC",,1,,,,,
DDG,N0002413C2305,J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,,1,,,,,
DDG,N0002413C2305,X9C7KVWCMQJ6,"VALKYRIE ENTERPRISES, LLC",,2,,,,,
DDG,N0002413C2305,YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",,2,,,,,
DDG,N0002413C2305,G78MQ69BN636,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,,2,,,,,
DDG,N0002413C2305,GXPHJRVG9MR7,DRS NAVAL POWER SYSTEMS INC,,2,,,,,
