Subawardee UEI,Subawardee Vendor Name,Distinct PIIDs,Distinct Programs,Distinct Subaward Numbers
KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,4,1,69
EVZMB1757DW5,"STEELFAB, INC.",3,3,6
TZLXM3NCC7D1,EXIDE TECHNOLOGIES,1,1,1
G319AMB56SW5,"901 D, LLC",4,3,45
WPP2ABN6UCF5,"L3 TECHNOLOGIES, INC.",7,3,46
LG88NCWJ3A95,"YOUNG ENGINEERING & MANUFACTURING, INC.",3,2,11
H4ZMPGLLZ8D9,ARTCRAFT FABRICATORS INC,3,3,8
ZFNUGJEGR2Q9,INGERSOLL MACHINE TOOLS INC,1,1,1
RYRLL49HWN65,BAKER SHEET METAL CORPORATION,6,3,41
MKDGDE6K34N5,"D. W. CLARK, INC",3,2,47
ENNXJDZUYCK3,MARMON AEROSPACE & DEFENSE LLC,1,1,1
NVPEBL51CSF8,"GUILL TOOL & ENGINEERING CO, INC.",4,2,101
WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",4,3,23
NTREK31GP8N3,KSARIA CORPORATION,4,3,34
FLMQAKFEMG64,INDEECO LLC,5,3,50
GUD4TJE3FN31,CIRCOR PUMPS NORTH AMERICA LLC,2,2,7
N6P1AGPMV456,EVAC NORTH AMERICA INC.,4,2,29
DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,4,1,41
E3YNKWRANZ18,"AQUA-CHEM, INC.",6,3,21
ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,4,1,42
UMQ8KHJJUBN6,"KOIKE ARONSON, INC.",1,1,7
JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",8,3,63
TSCZLHCGNQ53,FACET (OKLAHOMA) LLC,4,1,26
EDNNTCM7SUS8,"IMIA, LLC",6,3,32
C1B6X8AADFB1,"COMSACO, INC.",5,3,25
FWF8QBPCGLG3,GENERAL TOOL COMPANY,7,3,46
QYKAR7MJJXL7,"MEGGITT SAFETY SYSTEMS, INC.",3,1,15
GR2CKSBB4MB5,LENAPE FORGED PRODUCTS CORP,4,2,50
EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",4,1,55
HSV2N9ACRTJ6,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,3,2,73
JAXJSTJJSP74,"RTX BBN TECHNOLOGIES, INC.",3,2,5
RMLGMBGNPCC8,"KINGSBURY, INC.",4,1,19
J8PKNJEX2MS2,"LOCKWOOD BROTHERS, INC.",3,2,5
CN4DJZSKM3Y3,"PENNSYLVANIA MACHINE WORKS, LLC",4,2,112
M4ANYAZ8Q6H8,GEMS SENSORS INC.,6,3,36
ZFQBUPK552C3,THE H R HILLERY COMPANY,4,2,56
HUDHMPV9B6M9,NORTHROP GRUMMAN SYSTEMS CORPORATION,1,1,2
NSWQJBEZZD83,SOPHEON CORPORATION,1,1,2
QCFDU4MA1444,A/Z CORPORATION,4,2,14
E2P8AAJA2LK5,"MICRO PRECISION, LLC",5,2,60
KZGEJ29ND6K3,EVONIK CORPORATION,3,1,29
NRCCMBKQ6FD7,LEIDOS INNOVATIONS CORPORATION,4,2,16
MDH6KH9D4SG7,"ASCO POWER TECHNOLOGIES, L.P.",5,3,20
HWLGUR28KMS6,APPLETON MARINE INC,2,1,13
U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",6,3,23
HQYTCMF5RGE4,SHERBURN ELECTRONICS INC.,7,3,87
CE3HF8PLAFD3,"MILWAUKEE VALVE COMPANY, LLC",3,2,32
