uei,name,dollars_total_$M,dollars_submarines_$M,dollars_ddg_$M,records,foreign,enriched,sam_match,reg_status,org_structure_desc,primary_naics_6,primary_naics_4,naics_count,all_naics_6,psc_count,psc_list,immediate_owner,highest_owner,cage,exclusion,business_types
CXZ9PUEZ5SQ7,BLACK & DECKER (U.S.) INC.,1.744,0.0,1.744,8,no,yes,Active,Active,Manufacturer of Goods,337127,3371,5,332439;332999;337127;337214;423440,0,,"STANLEY BLACK & DECKER, INC.",,75QZ3,N,For Profit Organization;Business or Organization;Manufacturer of Goods
SE6NBH1ZRQN5,VETERANS' GROUP LLC,1.739,1.739,0.0,7,no,yes,NO_RECORD,,,,,0,,0,,,,,,
L5YANW2XSND4,"B.W. ELLIOTT MANUFACTURING CO., LLC",1.72,1.72,0.0,28,no,yes,Active,Active,Manufacturer of Goods,333613,3336,8,326291;331222;332618;332721;333112;333613;335932;336413,0,,,,72166,N,For Profit Organization;Business or Organization;Manufacturer of Goods
M8ZHL8ZXGQP5,"CHROMALOX, INC.",1.715,0.087,1.628,15,no,yes,Active,Active,Manufacturer of Goods,333414,3334,1,333414,0,,SPIRAX SARCO LTD,,65586,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
W43NW8NZ7AJ8,GENERAL NUCLEAR CORP.,1.707,1.707,0.0,7,no,yes,Active,Active,Subchapter S Corporation,332710,3327,6,332710;332721;332722;332911;332999;423510,0,,,,67093,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
VNC1NE44BXJ6,"TOTAL WELDING SUPPLY, INC.",1.692,1.692,0.0,4,no,yes,Active,Active,,,,0,,0,,,,0N9R2,N,For Profit Organization;Business or Organization
CEN1DBGRNU77,CHESTERFIELD SPECIAL CYLINDERS LIMITED,1.675,1.675,0.0,1,yes,yes,Inactive,Inactive,Manufacturer of Goods,332420,3324,1,332420,2,H299;H320,PRESSURE TECHNOLOGIES PLC,,K0187,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
CJF6S4UR1LM8,EVOQUA WATER TECHNOLOGIES LLC,1.664,0.0,1.664,13,no,yes,Active,Active,Manufacturer of Goods,221310,2213,8,221310;333310;333998;334513;334516;339999;562119;811310,0,,XYLEM INC.,,6RDX4,N,For Profit Organization;Business or Organization;Manufacturer of Goods
EK4EVQQNEFC6,"HEXAGON METROLOGY, INC.",1.658,1.658,0.0,4,no,yes,Active,Active,Manufacturer of Goods,334513,3345,5,334513;513210;541380;541519;811210,0,,HEXAGON SMART SOLUTIONS AB,HEXAGON AB,1WUK4,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
DQLZFV6PFCB9,"TATE ANDALE, LLC",1.642,0.363,1.279,24,no,yes,Active,Active,Manufacturer of Goods,332911,3329,2,332911;336611,0,,,,09032,N,For Profit Organization;Business or Organization;Manufacturer of Goods
LZP6L339NKZ9,MARINE POLYMERS INC,1.641,1.641,0.0,9,no,yes,Active,Active,Manufacturer of Goods,325211,3252,1,325211,0,,,,1K3G5,N,For Profit Organization;Business or Organization;Manufacturer of Goods
MUD4KL77FK98,TURNBULL LLC,1.618,1.307,0.311,12,no,yes,Active,Active,Manufacturer of Goods,332999,3329,3,332999;333613;337127,0,,"TRIDENT MARITIME SYSTEMS, LLC",,5BWU1,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
CAKCE9S4WL78,"AZTEC GLOBAL SOLUTIONS, INC.",1.611,0.0,1.611,28,no,yes,Active,Active,,423690,4236,16,334111;334112;334413;334417;334419;334511;334515;334519;335311;335999;339920;339991;423430;423690;423720;424720,0,,,,1FQH5,N,For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization
