generated_internal_id,piid,tier,award_amount,recipient,matched_axes
CONT_AWD_N3220524P2273_9700_-NONE-_-NONE-,N3220524P2273,broad_maritime,239440.0,"CENTRAL RADIO COMPANY, INC.",psc:2090
CONT_AWD_N0040617P1602_9700_-NONE-_-NONE-,N0040617P1602,broad_maritime,238701.85,"JPL HABITABILITY, INC.",psc:2090
CONT_AWD_N3220518F0008_9700_N3220517D4700_9700,N3220518F0008,other_small,238683.5,"LAKE SHORE SYSTEMS, INC.",psc:1990
CONT_AWD_N0016725F0020_9700_N0016720D0006_9700,N0016725F0020,broad_maritime,238566.36,"QED SYSTEMS, INC.",psc:1905
CONT_AWD_N3220516P4016_9700_-NONE-_-NONE-,N3220516P4016,broad_maritime,238482.16,BARNEY A CAGLE,psc:2090
CONT_AWD_N3220515P1003_9700_-NONE-_-NONE-,N3220515P1003,broad_maritime,238380.0,"DEFENSE MARITIME SOLUTIONS, INC.",psc:2090
CONT_AWD_N0040622F0055_9700_N3220521D6175_9700,N0040622F0055,broad_maritime,238119.08,"FINCANTIERI MARINE SYSTEMS NORTH AMERICA, INC.",psc:2090
CONT_AWD_N3220516P7241_9700_-NONE-_-NONE-,N3220516P7241,broad_maritime,237895.93,"AQUA-CHEM, INC.",psc:2090
CONT_AWD_N3220521F1735_9700_N3220519D9003_9700,N3220521F1735,broad_maritime,237825.0,"OCEAN PRODUCTS RESEARCH, INC.",psc:2090
CONT_AWD_N0010421PND09_9700_-NONE-_-NONE-,N0010421PND09,small_craft,237811.0,ELECTRIC BOAT CORPORATION,naics:336612
CONT_AWD_N0018923P0591_9700_-NONE-_-NONE-,N0018923P0591,broad_maritime,237100.0,PAMAS PARTIKELMESS- UND ANALYSESYSTEME GMBH,psc:2090
CONT_AWD_N0002422F4107_9700_N0002419D4114_9700,N0002422F4107,broad_maritime,236608.49,"HEXAGON US FEDERAL, INC",psc:2090
CONT_AWD_N6264923P0140_9700_-NONE-_-NONE-,N6264923P0140,broad_maritime,236601.27,HOSHI KEIKINZOKU KOGYO K.K.,psc:2090
CONT_AWD_0009_9700_N0024415D0007_9700,0009,broad_maritime,236353.0,PACIFIC MARITIME INDUSTRIES CORP.,psc:2090
CONT_AWD_N0040622F0047_9700_N3220520D6713_9700,N0040622F0047,broad_maritime,236296.84,ROLLS-ROYCE SOLUTIONS AMERICA INC,psc:2090
CONT_AWD_N6449821F4086_9700_N6449817D0014_9700,N6449821F4086,broad_maritime,236123.71,"NAG, LLC",psc:2090
CONT_AWD_N0024423F0460_9700_N0024423D0003_9700,N0024423F0460,broad_maritime,236030.0,"MARINE & RESTAURANT FABRICATORS, INC.",psc:2090
CONT_AWD_N3220517P4926_9700_-NONE-_-NONE-,N3220517P4926,broad_maritime,236003.74,"LAKE SHORE SYSTEMS, INC.",psc:2090
CONT_AWD_N3220521P2666_9700_-NONE-_-NONE-,N3220521P2666,broad_maritime,236000.0,LIFERAFT SYSTEMS AUSTRALIA PTY LTD,psc:2090
CONT_AWD_N0010421PFA01_9700_-NONE-_-NONE-,N0010421PFA01,small_craft,235005.0,U.S.A. SPARES INC.,naics:336612
CONT_AWD_N0010419PFE96_9700_-NONE-_-NONE-,N0010419PFE96,small_craft,235005.0,U.S.A. SPARES INC.,naics:336612
CONT_AWD_N6893619F0072_9700_GS07F224CA_4732,N6893619F0072,broad_maritime,234720.92,"THE MOLDING COMPANY, INC.",psc:2090
CONT_AWD_N6133117F0134_9700_N6133116D0006_9700,N6133117F0134,broad_maritime,234278.0,"NAG, LLC",psc:2090
CONT_AWD_N0010421PDE39_9700_-NONE-_-NONE-,N0010421PDE39,small_craft,234061.52,"DEFENSE MARITIME SOLUTIONS, INC.",naics:336612
