supplier,sub_key,total_sub_dollars,n_distinct_primes,primary_capability,primes
WORLD FUEL SERVICES CORPORATION,MJ2VYYK18NC6,225201.68,1,propulsion_power,HUNTINGTON INGALLS INC
"HYDRAULICS INTERNATIONAL, INC.",CLH8D5KDN9D6,211064.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
GREGORY POOLE EQUIPMENT COMPANY,G5K4NEGGRQQ1,199024.07,1,other_unclassified,HUNTINGTON INGALLS INC
"VECTOR CONTROLS, INC.",M3MLVMK9XVV3,196909.0,1,other_unclassified,"LEIDOS, INC."
"G P 50 NEW YORK, LTD.",VT5KKT7WLRE7,193754.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
HILLPRO LLC,WSC2LAM3F749,188290.2,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
AGGREKO PLC,PM5WJ7WYPX53,177931.24,1,other_unclassified,HUNTINGTON INGALLS INC
FALMOUTH SCIENTIFIC INC,LHVGM3RFA281,177062.81,1,autonomy_software,"HII UNMANNED SYSTEMS, INC"
"TELEDYNE INSTRUMENTS, INC.",K3MRSBC1CYT4,174552.78,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"Octopus Industries, Inc.",KN4DLHTLNCS8,172504.5,1,autonomy_software,HUNTINGTON INGALLS INC
"POWELL ELECTRONICS, INC.",M2XAYNY2P889,171208.72,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
EACO CORPORATION,UZ6EFJJNEFT3,170209.5,2,other_unclassified,"RAYTHEON COMPANY; TELEDYNE BROWN ENGINEERING, INC."
"CMT MATERIALS, INC.",M6SKXVEXY4G3,166696.64,1,platform_hull,"SAAB, INC"
PIERCE ALUMINUM CO INC,F3S7R7XULVR8,165543.42,1,platform_hull,"TELEDYNE BROWN ENGINEERING, INC."
Alabama Seal and Packing Co Inc,EFP1A999JVS6,162819.73,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"ABRAMS AIRBORNE MANUFACTURING, INC.",LV12LKK92Z99,162600.0,1,autonomy_software,RAYTHEON COMPANY
"INTERNATIONAL FLOORING AND PROTECTIVE COATINGS, INC.",UZGNVGQVER16,159863.0,1,autonomy_software,HUNTINGTON INGALLS INC
"METAL TECHNOLOGIES OF MURFREESBORO, INC.",UJYVVYJF29Q7,157906.42,1,c2_comms,SERCO INC
Gallium Visual,PXWRHVZ4LQF5,157675.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"ECLIPSE GROUP, INC.",DMMFJS7D8RX8,156450.0,1,other_unclassified,SERCO-IPS CORPORATION
"PACIFIC MARITIME GROUP, INC.",ZRBPR96JCE93,153303.0,1,other_unclassified,"OASIS SYSTEMS, LLC"
"HEILIND ELECTRONICS, INC",HTHFAYHMJWT4,151833.77,1,materials_components,SERCO-IPS CORPORATION
MCMASTER-CARR SUPPLY CO,C1FCEKJP7F91,151202.71,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
COMPOSITES UNIVERSAL GROUP,RX3MV2GBCVC5,150363.92,1,platform_hull,"LEIDOS, INC."
GENERAL ELECTRIC COMPANY,JRZ1WHXAKBM3,150000.0,1,other_unclassified,NATIONAL STEEL AND SHIPBUILDING COMPANY
TELECOMMUNICATION SYSTEMS INC,GR5UXCH3JAE1,149830.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
EPSILON SYSTEMS SOLUTIONS,TNSXP14JPJS3,149000.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"CIRCOR AEROSPACE, INC.",K574V7KEQUC8,148493.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"PRIMARY FLOW SIGNAL, INC.",TMFVUXPLMKZ5,148488.59,1,other_unclassified,SERCO-IPS CORPORATION
"LABARGE ACQUISITION COMPANY, INC.",RB1NHMLR5BX9,144810.0,1,other_unclassified,RAYTHEON COMPANY
"L3HARRIS TECHNOLOGIES, INC.",SJULQDJ8NZU7,144508.0,1,other_unclassified,RAYTHEON COMPANY
"VECTORNAV TECHNOLOGIES, LLC",KGQBGYN7A911,139000.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
RYAN MARINE INC,RGD9DYZKCNT6,138073.18,1,other_unclassified,SERCO-IPS CORPORATION
PURVIS SYSTEMS INC,E4G7PDVYZS83,135225.64,2,other_unclassified,SERCO INC; SERCO-IPS CORPORATION
SOCIETE DE NEGOCE ET DE PARTICIPATION,J3DRM4537TG4,123118.81,2,other_unclassified,"LEIDOS, INC.; TELEDYNE BROWN ENGINEERING, INC."
"PPG INDUSTRIES, INC",WA6MBG28BUQ5,122372.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
NATIONAL INSTRUMENTS CORPORATION,LKXHMX1K3AC5,121497.08,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
QUANTUM IMAGING INC.,N9FKSNHGHMM9,119970.0,1,sensors_payload,RAYTHEON COMPANY
SAAB AKTIEBOLAG,ZD7EPRBLAAH5,119026.39,1,other_unclassified,"SAAB, INC"
"Silvus Technologies, Inc.",E5DNKR1BPQR6,118121.5,1,c2_comms,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
"PNEU-DRAULICS, INCORPORATED",NZLPJ3WBMDA8,113520.84,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"Chase Supply, Inc.",TF2HVUYPRMV1,113015.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"GREAT EASTERN GROUP, INC.",PPNLYGMKYMH5,110731.0,1,other_unclassified,"Y-TECH SERVICES, INC."
TGCI,HMX5FLZ22F92,109975.6,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"B.N.L. INDUSTRIES, INC.",PJRYS7EFXQD9,109830.0,2,propulsion_power,"HUNTINGTON INGALLS INC; TELEDYNE BROWN ENGINEERING, INC."
SAMTECH CORP.,CVYVRHJNKD96,107164.88,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
BOKAM ENGINEERING INC,NTB7JEPAZY79,106937.07,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"LEE-TELECOM, INC.",TWBUHJW83E77,106695.31,1,autonomy_software,HUNTINGTON INGALLS INC
