cell,desc,net,n,primes,top1,hhi,eff,label,span,n_years
B529,SPECIAL STUDIES/ANALYSIS- SCIENTIF,1018785.9,1,1,1.0,1.0,1.0,High,0,1
AZ14,R&D- OTHER RESEARCH AND DEVELOPMEN,997753.68,1,1,1.0,1.0,1.0,High,0,1
9930,MEMORIALS; CEMETERIAL AND MORTUARY,708764.97,2,1,1.0,1.0,1.0,High,1,2
Q801,MEDICAL APPOINTING SERVICES,703136.33,1,1,1.0,1.0,1.0,High,0,1
D303,IT AND TELECOM- DATA ENTRY,688265.28,1,1,1.0,1.0,1.0,High,0,1
AS42,TRANSPORTATION R&D SVCS; PIPELINES,649862.16,1,1,1.0,1.0,1.0,High,0,1
4730,"HOSE, PIPE, TUBE, LUBRICATION, AND",576166.0,1,1,1.0,1.0,1.0,High,0,1
R617,SUPPORT – ADMINISTRATIVE: ELECTRON,549480.84,1,1,1.0,1.0,1.0,High,0,1
7020,INFORMATION TECHNOLOGY CENTRAL PRO,532782.0700000001,2,2,0.5771215236278503,0.5118954588133622,1.9535238744217918,High,3,2
7J20,IT AND TELECOM - SECURITY AND COMP,511488.84,2,2,0.5366937038157079,0.5026928557994298,1.9892862778200922,High,1,2
7490,MISCELLANEOUS OFFICE MACHINES,499002.32,2,2,0.5000349497373079,0.5000000024429683,1.999999990228127,High,1,2
D322,IT AND TELECOM- INTERNET,464012.0,1,1,1.0,1.0,1.0,High,0,1
J030,MAINT/REPAIR/REBUILD OF EQUIPMENT-,429927.53,1,1,1.0,1.0,1.0,High,0,1
5925,CIRCUIT BREAKERS,406128.0,1,1,1.0,1.0,1.0,High,0,1
1337,GUIDED MISSILE AND SPACE VEHICLE E,320166.53,1,1,1.0,1.0,1.0,High,0,1
DB10,IT AND TELECOM - COMPUTE AS A SERV,290084.67,1,1,1.0,1.0,1.0,High,0,1
AJ44,R&D- GENERAL SCIENCE/TECHNOLOGY: E,265848.89,2,2,0.6067879012020702,0.5228073116862862,1.9127506016978895,High,0,1
R423,SUPPORT- PROFESSIONAL: INTELLIGENC,262690.05,1,1,1.0,1.0,1.0,High,0,1
5340,"HARDWARE, COMMERCIAL",248364.35,2,2,0.9983371204442183,0.9966797712252706,1.003331289417711,High,8,2
B539,SPECIAL STUDIES/ANALYSIS- AERONAUT,247206.08,1,1,1.0,1.0,1.0,High,0,1
R707,SUPPORT- MANAGEMENT: CONTRACT/PROC,231081.52,1,1,1.0,1.0,1.0,High,0,1
