generated_internal_id,award_id,recipient_name,award_amount,contract_award_type,award_type_group,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics,psc,start_date,end_date,in_scope,matched_axes,matched_queries,description
CONT_AWD_L806_9700_N0002410G4315_9700,L806,ELECTRIC BOAT CORPORATION,401411.0,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2011-05-10,2016-08-03,yes,psc:1905,psc:1905,"L8-06 FFP  $454,487 N0002410G4315, , AA, 6200000062"
CONT_AWD_N0003925F1003_9700_N0003921D6001_9700,N0003925F1003,"TELEDYNE BROWN ENGINEERING, INC.",400990.49,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '334511', 'description': 'SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING'}","{'code': '1940', 'description': 'SMALL CRAFT'}",2024-11-19,2025-11-18,yes,psc:1940,psc:1940,"LBS-G HARDWARE, SPARES, & SERVICES"
CONT_AWD_N3220516P7023_9700_-NONE-_-NONE-,N3220516P7023,KONGSBERG MARITIME INC,400128.0,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '334511', 'description': 'SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2016-01-12,2017-03-10,yes,psc:2090,psc:2090,DYNAMIC POSITIONING SYSTEM HARDWARE AND
CONT_AWD_N0010425PCB47_9700_-NONE-_-NONE-,N0010425PCB47,"ENGINE SYSTEMS, INC.",400000.0,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336612', 'description': 'BOAT BUILDING'}","{'code': '2910', 'description': 'ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT'}",2025-05-27,2026-05-27,yes,naics:336612,naics:336612,"GOVERNOR,DIESEL ENG (EAF)"
CONT_AWD_N0024423F0414_9700_N0024423D0003_9700,N0024423F0414,"MARINE & RESTAURANT FABRICATORS, INC.",399185.0,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332322', 'description': 'SHEET METAL WORK MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2023-08-29,2024-02-01,yes,psc:2090,psc:2090,MATERIALS FOR SHIPBOARD HAB RENOVATIONS
CONT_AWD_N6660420FC827_9700_N6660418DC815_9700,N6660420FC827,LOCKHEED MARTIN CORPORATION,398970.0,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336999', 'description': 'ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING'}","{'code': '1940', 'description': 'SMALL CRAFT'}",2020-05-29,2020-10-15,yes,psc:1940,psc:1940,UUV FOS SERVICES
CONT_AWD_N5005422C0005_9700_-NONE-_-NONE-,N5005422C0005,"PPG ARCHITECTURAL FINISHES, INC.",398565.0,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '325510', 'description': 'PAINT AND COATING MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2022-05-16,2023-06-23,yes,psc:2090,psc:2090,PAINT COATING AND RELATED PRODUCTS
CONT_AWD_N5005422P0201_9700_-NONE-_-NONE-,N5005422P0201,"CORNELL-CARR CO., INC.",397735.0,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332321', 'description': 'METAL WINDOW AND DOOR MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2022-09-08,2023-08-11,yes,psc:2090,psc:2090,"PILOTHOUSE WINDOWS, ARMORED, HEATED CC-1548 AND CC-1551 USS OAK HILL"
CONT_AWD_N6449819FPS41_9700_N6449817D0014_9700,N6449819FPS41,"NAG, LLC",397713.04,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '334513', 'description': 'INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2019-04-09,2020-04-14,yes,psc:2090,psc:2090,DO 0033 NAG
CONT_AWD_N3220518F3553_9700_N0003313D8020_9700,N3220518F3553,SHELL MARINE PRODUCTS (US) COMPANY,397037.2,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '324191', 'description': 'PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2018-08-13,2018-08-17,yes,psc:2090,psc:2090,N102C FRAZIER LUBE OIL PRODUCTS MARKED FOR USNS LEWIS AND CLARK
