vendor,piid,is_ot,award_type,base_signed,last_signed,ceiling_$m,obligated_$m
AUSTAL USA,N5523625F8482,no,DELIVERY ORDER,2025-03-14,2025-03-14,0.6,0.6
SPATIAL INTEGRATED SYSTEMS,N0016423F0091,no,DELIVERY ORDER,2023-07-07,2023-07-07,0.5,0.5
MARITIME APPLIED PHYSICS,N0010423PLB70,no,PURCHASE ORDER,2023-02-01,2024-01-25,0.5,0.5
MARITIME APPLIED PHYSICS,SPRMM113CPB26,no,DEFINITIVE CONTRACT,2013-07-03,2013-07-25,0.5,0.5
MARITIME APPLIED PHYSICS,HR001109C0037,no,DEFINITIVE CONTRACT,2009-07-24,2009-07-24,0.5,0.5
HII UNMANNED SYSTEMS,N0003922F2017,no,DELIVERY ORDER,2022-05-10,2022-05-10,1.0,0.5
HII UNMANNED SYSTEMS,N6600118F0662,no,DELIVERY ORDER,2019-02-04,2019-02-04,0.6,0.5
HII UNMANNED SYSTEMS,0001,no,DELIVERY ORDER,2014-04-07,2014-04-07,0.5,0.5
HII UNMANNED SYSTEMS,0014,no,DELIVERY ORDER,2014-09-30,2014-09-30,0.5,0.5
HII UNMANNED SYSTEMS,0003,no,DELIVERY ORDER,2012-09-19,2013-01-23,0.5,0.5
L3HARRIS TECHNOLOGIES,ZD030199303C2211MDA90391D0099,no,DELIVERY ORDER,1993-03-15,1993-03-15,0.0,0.5
L3HARRIS TECHNOLOGIES,0ZD04198308C2429MDA90481C0238,no,DELIVERY ORDER,1983-08-15,1983-08-15,0.0,0.5
L3HARRIS TECHNOLOGIES,HR090199102BF3361590C1469,no,PURCHASE ORDER,1991-02-15,1991-02-15,0.0,0.5
L3HARRIS TECHNOLOGIES,AB070198403C4232DAAB0782CJ228,no,DELIVERY ORDER,1984-03-15,1984-03-15,0.0,0.5
L3HARRIS TECHNOLOGIES,E614A198311C0280N0001482C0270,no,DELIVERY ORDER,1983-11-15,1983-11-15,0.0,0.5
L3HARRIS TECHNOLOGIES,01190198208C4946DAAB0779G6229,no,DELIVERY ORDER,1982-08-15,1982-08-15,0.0,0.5
L3HARRIS TECHNOLOGIES,AB070198301D3548DAAB0783CH012,no,DEFINITIVE CONTRACT,1983-01-15,1983-01-15,0.0,0.5
TEXTRON SYSTEMS,W91CRB11C0124,no,DEFINITIVE CONTRACT,2012-10-30,2012-10-30,0.5,0.5
AUSTAL USA,N6264925FR032,no,DELIVERY ORDER,2025-05-30,2025-05-30,0.5,0.5
SPATIAL INTEGRATED SYSTEMS,HC102824F0102,no,DELIVERY ORDER,2023-12-21,2023-12-21,0.4,0.4
MARITIME APPLIED PHYSICS,N0010423PLE28,no,PURCHASE ORDER,2023-07-18,2024-01-25,0.4,0.4
MARITIME APPLIED PHYSICS,N0010423PLA05,no,PURCHASE ORDER,2022-10-12,2023-10-25,0.4,0.4
MARITIME APPLIED PHYSICS,N0010422PLC98,no,PURCHASE ORDER,2022-07-12,2022-07-12,0.4,0.4
HII UNMANNED SYSTEMS,N6133121F0004,no,DELIVERY ORDER,2021-02-25,2021-02-25,0.4,0.4
HII UNMANNED SYSTEMS,0019,no,DELIVERY ORDER,2017-03-02,2017-03-02,0.4,0.4
L3HARRIS TECHNOLOGIES,E614A198704C1632N0001485C0455,no,DELIVERY ORDER,1987-04-15,1987-04-15,0.0,0.4
L3HARRIS TECHNOLOGIES,02140198207C1764N0001482C0270,no,DELIVERY ORDER,1982-07-15,1982-07-15,0.0,0.4
L3HARRIS TECHNOLOGIES,HC090198109C0068F0470178C0039,no,DELIVERY ORDER,1981-09-15,1981-09-15,0.0,0.4
TEXTRON SYSTEMS,N6893624F0592,no,DELIVERY ORDER,2024-07-30,2024-07-30,1.3,0.4
TEXTRON SYSTEMS,N0038319FNQ02,no,DELIVERY ORDER,2020-04-07,2020-05-14,0.4,0.4
TEXTRON SYSTEMS,FA821318C0055,no,DEFINITIVE CONTRACT,2018-09-26,2018-09-26,0.4,0.4
AUSTAL USA,N5523624F8452,no,DELIVERY ORDER,2024-04-26,2024-04-26,0.4,0.4
OCEAN AERO,HQ08452290061,yes,OTHER TRANSACTION AGREEMENT,2022-08-22,2022-12-21,0.3,0.3
SPATIAL INTEGRATED SYSTEMS,HC102819F1247,no,DELIVERY ORDER,2020-08-26,2020-08-26,0.3,0.3
MARITIME APPLIED PHYSICS,N0010425PLB23,no,PURCHASE ORDER,2025-02-21,2025-07-31,0.3,0.3
MARITIME APPLIED PHYSICS,SPRMM122PYA33,no,PURCHASE ORDER,2024-03-07,2024-03-07,0.3,0.3
HII UNMANNED SYSTEMS,N6133114C0016,no,DEFINITIVE CONTRACT,2014-04-24,2015-03-25,0.3,0.3
HII UNMANNED SYSTEMS,N0003922F2016,no,DELIVERY ORDER,2024-01-22,2024-01-25,0.3,0.3
HII UNMANNED SYSTEMS,N6660417F2594,no,DELIVERY ORDER,2018-06-29,2018-06-29,0.3,0.3
HII UNMANNED SYSTEMS,N6133117F0403,no,DELIVERY ORDER,2017-03-08,2017-03-08,0.3,0.3
L3HARRIS TECHNOLOGIES,00609199509CC51356V609P1698,no,DELIVERY ORDER,1995-09-15,1995-09-15,0.0,0.3
TEXTRON SYSTEMS,N6833525F0128,no,DELIVERY ORDER,2025-02-24,2026-02-20,0.4,0.3
TEXTRON SYSTEMS,N0038325CP013,no,DEFINITIVE CONTRACT,2025-06-24,2025-06-24,0.3,0.3
TEXTRON SYSTEMS,N0038322FZD05,no,DELIVERY ORDER,2021-12-21,2021-12-21,0.3,0.3
TEXTRON SYSTEMS,FA851722F0004,no,DELIVERY ORDER,2025-02-05,2025-02-05,0.3,0.3
TEXTRON SYSTEMS,FA852323F0048,no,DELIVERY ORDER,2023-08-28,2023-08-28,0.3,0.3
TEXTRON SYSTEMS,FA852324F0042,no,DELIVERY ORDER,2024-06-26,2024-06-26,0.3,0.3
TEXTRON SYSTEMS,FA851720F0044,no,DELIVERY ORDER,2020-10-26,2020-10-26,0.3,0.3
TEXTRON SYSTEMS,W911QX12C0079,no,DEFINITIVE CONTRACT,2012-06-28,2012-06-28,0.3,0.3
AUSTAL USA,N4034523F0287,no,DELIVERY ORDER,2023-04-28,2023-04-28,0.3,0.3
AUSTAL USA,N4034524F0244,no,DELIVERY ORDER,2024-06-11,2024-06-11,0.3,0.3
SEA MACHINES,W912HZ22P0139,no,PURCHASE ORDER,2022-09-16,2023-03-09,0.3,0.2
SPATIAL INTEGRATED SYSTEMS,W911N221F0194,no,DELIVERY ORDER,2025-02-07,2025-07-14,0.2,0.2
SPATIAL INTEGRATED SYSTEMS,HC102823F0566,no,DELIVERY ORDER,2023-06-12,2023-06-12,0.2,0.2
SPATIAL INTEGRATED SYSTEMS,HC102816F0774,no,DELIVERY ORDER,2016-09-12,2016-09-12,0.2,0.2
SPATIAL INTEGRATED SYSTEMS,N6852025F0060,no,DELIVERY ORDER,2025-01-29,2025-01-29,0.2,0.2
MARITIME APPLIED PHYSICS,N0010422PLD72,no,PURCHASE ORDER,2022-08-04,2024-01-25,0.2,0.2
MARITIME APPLIED PHYSICS,N0010424PLA65,no,PURCHASE ORDER,2023-11-16,2026-03-18,0.2,0.2
MARITIME APPLIED PHYSICS,HY02332690016,yes,OTHER TRANSACTION AGREEMENT,2026-02-27,2026-02-27,0.2,0.2
MARITIME APPLIED PHYSICS,SPE8EE26P0194,no,PURCHASE ORDER,2025-12-19,2025-12-19,0.2,0.2
MARITIME APPLIED PHYSICS,N0002424CS041,no,DEFINITIVE CONTRACT,2024-09-26,2024-09-26,0.2,0.2
MARITIME APPLIED PHYSICS,N0010422PLD38,no,PURCHASE ORDER,2023-08-22,2023-08-22,0.2,0.2
MARITIME APPLIED PHYSICS,70Z08020FP45G6600,no,DELIVERY ORDER,2020-09-02,2020-09-02,0.2,0.2
MARITIME APPLIED PHYSICS,SPE7MC22P2570,no,PURCHASE ORDER,2022-11-17,2022-11-17,0.2,0.2
MARITIME APPLIED PHYSICS,SPRMM121PYB10,no,PURCHASE ORDER,2021-08-10,2021-08-10,0.2,0.2
HII UNMANNED SYSTEMS,N6133108P3517,no,PURCHASE ORDER,2008-01-24,2008-04-29,0.2,0.2
HII UNMANNED SYSTEMS,N6133124P0129,no,PURCHASE ORDER,2024-09-26,2024-09-26,0.2,0.2
HII UNMANNED SYSTEMS,0049,no,DELIVERY ORDER,2012-02-15,2012-02-15,0.2,0.2
HII UNMANNED SYSTEMS,0029,no,DELIVERY ORDER,2011-03-29,2011-03-29,0.2,0.2
HII UNMANNED SYSTEMS,N6133119F0204,no,DELIVERY ORDER,2020-01-09,2020-01-09,0.2,0.2
HII UNMANNED SYSTEMS,N6133119P0237,no,PURCHASE ORDER,2020-11-04,2020-11-04,0.2,0.2
HII UNMANNED SYSTEMS,DOCEA133W12SE2240,no,PURCHASE ORDER,2016-07-26,2016-07-26,0.2,0.2
L3HARRIS TECHNOLOGIES,0ZD04198202C1407MDA90481C0238,no,DELIVERY ORDER,1982-02-15,1982-02-15,0.0,0.2
L3HARRIS TECHNOLOGIES,E612A198509D2270N0001485C0383,no,DEFINITIVE CONTRACT,1985-09-15,1985-09-15,0.0,0.2
L3HARRIS TECHNOLOGIES,AB070198402C39683968DAAB0784DJ505,no,DELIVERY ORDER,1984-02-15,1984-02-15,0.0,0.2
L3HARRIS TECHNOLOGIES,02140198204D1363N0001482C0270,no,DEFINITIVE CONTRACT,1982-04-15,1982-04-15,0.0,0.2
L3HARRIS TECHNOLOGIES,HJ030198109C0211F3060279C0268,no,DELIVERY ORDER,1981-09-15,1981-09-15,0.0,0.2
L3HARRIS TECHNOLOGIES,HC090198103C0033F0470178C0039,no,DELIVERY ORDER,1981-03-15,1981-03-15,0.0,0.2
TEXTRON SYSTEMS,W911QY21F0126,no,DELIVERY ORDER,2021-02-04,2021-02-04,0.2,0.2
TEXTRON SYSTEMS,FA853325F0075,no,DELIVERY ORDER,2025-05-08,2025-05-08,0.2,0.2
TEXTRON SYSTEMS,FA865017F2721,no,DELIVERY ORDER,2017-12-04,2017-12-04,0.2,0.2
TEXTRON SYSTEMS,N6893623F0815,no,DELIVERY ORDER,2024-08-23,2024-08-23,0.2,0.2
TEXTRON SYSTEMS,N0038324PP163,no,PURCHASE ORDER,2024-07-23,2024-07-23,0.2,0.2
TEXTRON SYSTEMS,0009,no,DELIVERY ORDER,2016-09-30,2016-09-30,0.2,0.2
TEXTRON SYSTEMS,SPE7M119C0005,no,DEFINITIVE CONTRACT,2019-02-28,2019-02-28,0.2,0.2
TEXTRON SYSTEMS,N6833520P0069,no,PURCHASE ORDER,2020-04-01,2020-04-01,0.2,0.2
TEXTRON SYSTEMS,FA821317F1003,no,DELIVERY ORDER,2023-06-26,2023-06-26,0.2,0.2
AUSTAL USA,N6264925FRA13,no,DELIVERY ORDER,2026-01-05,2026-01-05,0.2,0.2
AUSTAL USA,N4034523F0256,no,DELIVERY ORDER,2023-03-27,2023-03-27,0.2,0.2
AUSTAL USA,N6264925FR010,no,DELIVERY ORDER,2024-12-09,2024-12-09,0.2,0.2
AUSTAL USA,N5523625F8498,no,DELIVERY ORDER,2025-02-11,2025-02-11,0.2,0.2
AUSTAL USA,N5523625F8486,no,DELIVERY ORDER,2024-12-19,2024-12-19,0.2,0.2
AUSTAL USA,N6264925FR015,no,DELIVERY ORDER,2024-12-16,2024-12-16,0.2,0.2
AUSTAL USA,N4034523F0426,no,DELIVERY ORDER,2023-08-28,2023-08-28,0.2,0.2
AUSTAL USA,N4034522F0112,no,DELIVERY ORDER,2022-03-08,2022-03-08,0.2,0.2
OCEAN AERO,N6133125F1003,no,DELIVERY ORDER,2025-04-24,2025-04-24,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,N0016413F0013,no,DELIVERY ORDER,2012-11-16,2012-11-16,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,N0017325F5310,no,DELIVERY ORDER,2025-04-21,2025-04-21,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,N0025325F7011,no,DELIVERY ORDER,2025-07-14,2025-07-14,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,FA821920F0027,no,DELIVERY ORDER,2020-06-03,2020-06-03,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,FA860420F1098,no,DELIVERY ORDER,2020-08-12,2020-08-12,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,N6660408M3169,no,PURCHASE ORDER,2008-05-13,2008-05-13,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,HHSN276201100406U,no,DELIVERY ORDER,2011-09-15,2011-09-15,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,DS000200008CT0300DS0210GS35F5466H,no,DELIVERY ORDER,2000-08-15,2000-08-15,0.0,0.1
SPATIAL INTEGRATED SYSTEMS,M6700120F1070,no,DELIVERY ORDER,2020-04-10,2020-04-10,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,80NSSC20F0658,no,DELIVERY ORDER,2020-04-08,2020-04-08,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,N0016414P0128,no,PURCHASE ORDER,2013-12-20,2017-02-15,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,N0016417F0043,no,DELIVERY ORDER,2017-02-23,2017-02-23,0.2,0.1
SPATIAL INTEGRATED SYSTEMS,HC102818F0946,no,DELIVERY ORDER,2019-05-14,2019-05-14,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,HC102816F0451,no,DELIVERY ORDER,2016-07-06,2017-06-13,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,HC102815F0302,no,DELIVERY ORDER,2015-07-01,2015-07-01,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,HC102815F0256,no,DELIVERY ORDER,2015-06-02,2015-06-02,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,N0016725F1112,no,DELIVERY ORDER,2025-07-16,2025-07-16,0.1,0.1
SPATIAL INTEGRATED SYSTEMS,80NSSC25FA300,no,DELIVERY ORDER,2025-03-24,2025-03-24,0.1,0.1
MARITIME APPLIED PHYSICS,N0010421PCD71,no,PURCHASE ORDER,2021-09-08,2023-02-16,0.1,0.1
MARITIME APPLIED PHYSICS,N0010423PLB62,no,PURCHASE ORDER,2023-02-17,2025-03-24,0.1,0.1
MARITIME APPLIED PHYSICS,W912KZ12P0124,no,PURCHASE ORDER,2013-08-17,2013-08-17,0.1,0.1
MARITIME APPLIED PHYSICS,N0010422PLC59,no,PURCHASE ORDER,2022-06-22,2022-06-22,0.1,0.1
MARITIME APPLIED PHYSICS,70Z08018FP45D3600,no,DELIVERY ORDER,2018-03-28,2018-03-28,0.1,0.1
MARITIME APPLIED PHYSICS,70Z08018FP4598200,no,DELIVERY ORDER,2018-03-16,2018-03-16,0.1,0.1
MARITIME APPLIED PHYSICS,70Z08020FP45P2700,no,DELIVERY ORDER,2020-09-25,2020-10-14,0.1,0.1
MARITIME APPLIED PHYSICS,HSCG8016JP45B42,no,DELIVERY ORDER,2016-04-05,2016-04-12,0.1,0.1
MARITIME APPLIED PHYSICS,HSCG8016JP45C12,no,DELIVERY ORDER,2016-09-02,2016-09-02,0.1,0.1
MARITIME APPLIED PHYSICS,N6833521C0735,no,DEFINITIVE CONTRACT,2021-08-13,2021-08-13,0.2,0.1
MARITIME APPLIED PHYSICS,W56HZV08C0060,no,DEFINITIVE CONTRACT,2007-11-27,2007-11-27,0.1,0.1
MARITIME APPLIED PHYSICS,N6833517C0323,no,DEFINITIVE CONTRACT,2017-05-09,2017-05-09,0.2,0.1
MARITIME APPLIED PHYSICS,HSCG8016JP45B66,no,DELIVERY ORDER,2016-04-15,2016-04-15,0.1,0.1
MARITIME APPLIED PHYSICS,INF15PX00038,no,PURCHASE ORDER,2014-11-03,2015-04-30,0.1,0.1
MARITIME APPLIED PHYSICS,M6785415C6514,no,DEFINITIVE CONTRACT,2015-01-15,2015-01-15,0.1,0.1
MARITIME APPLIED PHYSICS,INF501817M690,no,PURCHASE ORDER,2007-09-15,2008-09-26,0.1,0.1
MARITIME APPLIED PHYSICS,N0001403M0349,no,PURCHASE ORDER,2004-04-02,2004-04-02,0.0,0.1
MARITIME APPLIED PHYSICS,N6553808M0036,no,PURCHASE ORDER,2009-05-04,2009-05-04,0.1,0.1
MARITIME APPLIED PHYSICS,N0010421PCB78,no,PURCHASE ORDER,2022-02-11,2022-02-11,0.2,0.1
MARITIME APPLIED PHYSICS,70Z08020FP45A6800,no,DELIVERY ORDER,2020-04-08,2020-04-08,0.1,0.1
MARITIME APPLIED PHYSICS,70Z08020FP45E3900,no,DELIVERY ORDER,2020-06-23,2020-06-23,0.1,0.1
MARITIME APPLIED PHYSICS,70Z08019FP45J9800,no,DELIVERY ORDER,2019-06-21,2019-06-21,0.1,0.1
MARITIME APPLIED PHYSICS,70Z08020FP45E9000,no,DELIVERY ORDER,2020-08-19,2020-08-19,0.1,0.1
MARITIME APPLIED PHYSICS,70Z08018FP45G6100,no,DELIVERY ORDER,2018-05-10,2018-05-10,0.1,0.1
MARITIME APPLIED PHYSICS,N6833520C0637,no,DEFINITIVE CONTRACT,2020-08-06,2020-08-06,0.2,0.1
MARITIME APPLIED PHYSICS,W911NF12C0093,no,DEFINITIVE CONTRACT,2012-09-13,2012-09-13,0.1,0.1
MARITIME APPLIED PHYSICS,0002,no,DELIVERY ORDER,2016-09-30,2016-09-30,0.3,0.1
MARITIME APPLIED PHYSICS,SPRMM121PYB51,no,PURCHASE ORDER,2021-03-10,2021-03-10,0.1,0.1
MARITIME APPLIED PHYSICS,FA955011C0074,no,DEFINITIVE CONTRACT,2011-07-27,2011-07-27,0.1,0.1
HII UNMANNED SYSTEMS,N0010406PLA07,no,PURCHASE ORDER,2005-10-24,2005-10-24,0.0,0.1
HII UNMANNED SYSTEMS,N0010406ML001,no,PURCHASE ORDER,2006-03-14,2006-03-14,0.0,0.1
HII UNMANNED SYSTEMS,N0010407PLA51,no,PURCHASE ORDER,2006-10-17,2006-10-17,0.1,0.1
HII UNMANNED SYSTEMS,N0010498PLM90,no,PURCHASE ORDER,1998-09-29,1998-09-29,0.0,0.1
HII UNMANNED SYSTEMS,N6133111P5901,no,PURCHASE ORDER,2011-03-28,2011-03-28,0.1,0.1
HII UNMANNED SYSTEMS,N6133108P4519,no,PURCHASE ORDER,2008-07-22,2008-07-22,0.1,0.1
HII UNMANNED SYSTEMS,N6133101C0031,no,DEFINITIVE CONTRACT,2001-06-29,2001-06-29,0.0,0.1
HII UNMANNED SYSTEMS,N6133105P9515,no,PURCHASE ORDER,2005-09-21,2005-09-21,0.0,0.1
HII UNMANNED SYSTEMS,N0003922F1049,no,DELIVERY ORDER,2022-09-20,2024-01-22,0.1,0.1
HII UNMANNED SYSTEMS,N6133121F0108,no,DELIVERY ORDER,2024-01-22,2024-01-22,0.1,0.1
HII UNMANNED SYSTEMS,N0017421F0003,no,DELIVERY ORDER,2024-01-25,2024-01-25,0.2,0.1
HII UNMANNED SYSTEMS,N0017423F0077,no,DELIVERY ORDER,2023-04-20,2023-04-20,0.1,0.1
HII UNMANNED SYSTEMS,0036,no,DELIVERY ORDER,2011-07-28,2011-07-28,0.1,0.1
HII UNMANNED SYSTEMS,N0003921F2130,no,DELIVERY ORDER,2021-09-28,2021-09-28,0.2,0.1
HII UNMANNED SYSTEMS,N0017420F0333,no,DELIVERY ORDER,2020-09-17,2020-09-17,0.1,0.1
HII UNMANNED SYSTEMS,0002,no,DELIVERY ORDER,2013-12-20,2013-12-20,0.1,0.1
HII UNMANNED SYSTEMS,0038,no,DELIVERY ORDER,2014-01-15,2014-01-15,0.2,0.1
HII UNMANNED SYSTEMS,SPE4A613MR824,no,PURCHASE ORDER,2013-12-30,2013-12-30,0.1,0.1
L3HARRIS TECHNOLOGIES,0009,no,DELIVERY ORDER,1997-09-30,1997-09-30,0.0,0.1
L3HARRIS TECHNOLOGIES,09000198812DDLA90089C0852,no,DEFINITIVE CONTRACT,1988-12-15,1988-12-15,0.0,0.1
L3HARRIS TECHNOLOGIES,AB070199205BDAAB0790CJ004,no,PURCHASE ORDER,1992-05-15,1992-05-15,0.0,0.1
L3HARRIS TECHNOLOGIES,SG600199012BDASG6088C0102,no,PURCHASE ORDER,1990-12-15,1990-12-15,0.0,0.1
L3HARRIS TECHNOLOGIES,AC090198608D0280DAAC0986C0218,no,DEFINITIVE CONTRACT,1986-08-15,1986-08-15,0.0,0.1
L3HARRIS TECHNOLOGIES,JA100198605CA568A568N0010485G0330,no,DELIVERY ORDER,1986-05-15,1986-05-15,0.0,0.1
L3HARRIS TECHNOLOGIES,D2602198311D0150N0003984C0008,no,DEFINITIVE CONTRACT,1983-11-15,1983-11-15,0.0,0.1
L3HARRIS TECHNOLOGIES,LERC0199203BNAS325860,no,PURCHASE ORDER,1992-03-15,1992-03-15,0.0,0.1
L3HARRIS TECHNOLOGIES,3294198409C40329442255543A75051,no,DELIVERY ORDER,1984-09-15,1984-09-15,0.0,0.1
L3HARRIS TECHNOLOGIES,3294198302C4332943242543A75051,no,DELIVERY ORDER,1983-02-15,1983-02-15,0.0,0.1
L3HARRIS TECHNOLOGIES,EP001198409DTEP8466N,no,DEFINITIVE CONTRACT,1984-09-15,1984-09-15,0.0,0.1
L3HARRIS TECHNOLOGIES,02140198109C2675N0001475C1146,no,DELIVERY ORDER,1981-09-15,1981-09-15,0.0,0.1
L3HARRIS TECHNOLOGIES,000AB198407DNA84ABC00212,no,DEFINITIVE CONTRACT,1984-07-15,1984-07-15,0.0,0.1
L3HARRIS TECHNOLOGIES,LARC0198407BNAS115763,no,PURCHASE ORDER,1984-07-15,1984-07-15,0.0,0.1
L3HARRIS TECHNOLOGIES,LARC0199002BNAS118872,no,PURCHASE ORDER,1990-02-15,1990-02-15,0.0,0.1
L3HARRIS TECHNOLOGIES,HC090198303C0042F0470182C0041,no,DELIVERY ORDER,1983-03-15,1983-03-15,0.0,0.1
L3HARRIS TECHNOLOGIES,AB070198112C02710271DAAB0779G6229,no,DELIVERY ORDER,1981-12-15,1981-12-15,0.0,0.1
