generated_internal_id,award_id,recipient_name,award_amount,contract_award_type,award_type_group,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics,psc,start_date,end_date,in_scope,matched_axes,matched_queries,description
CONT_AWD_W56HZV20FA001_9700_W911S015D0038_9700,W56HZV20FA001,HEAVY ENGINEERING INDUSTRIES AND SHIPBUILDING COMPANY K.S.C.,70425.89,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2020-04-15,2020-04-30,yes,naics:336611; psc:1905,naics:336611; psc:1905,EMERGENCY REPAIRS TO US VESSEL LSV-6
CONT_AWD_BR01_9700_W911S015D0038_9700,BR01,HEAVY ENGINEERING INDUSTRIES AND SHIPBUILDING COMPANY K.S.C.,70410.0,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2015-09-23,2016-03-06,yes,naics:336611; psc:1905,naics:336611; psc:1905,VESSEL REPAIRS/MODIFICATIONS
CONT_AWD_W912EE21F0032_9700_W912EE19A0001_9700,W912EE21F0032,BIG RIVER SHIPBUILDERS INC,70000.0,BPA CALL,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2021-02-17,2021-03-18,yes,naics:336611,naics:336611,DRY DOCK & REPAIR BARGE 8803
CONT_AWD_W9127N15P0086_9700_-NONE-_-NONE-,W9127N15P0086,"PROPULSION SYSTEMS, INC.",69754.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '2010', 'description': 'SHIP AND BOAT PROPULSION COMPONENTS'}",2015-08-28,2015-11-16,yes,naics:336611,naics:336611,TAIL SHAFT LINERS
CONT_AWD_W912EE22F0009_9700_W912EE19A0001_9700,W912EE22F0009,BIG RIVER SHIPBUILDERS INC,69750.0,BPA CALL,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J020', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIP AND MARINE EQUIPMENT'}",2021-11-02,2021-11-14,yes,naics:336611,naics:336611,SUBMERGED PIPELINE BARGE RECOVERY
CONT_AWD_W56HZV18FA008_9700_W911S015D0038_9700,W56HZV18FA008,HEAVY ENGINEERING INDUSTRIES AND SHIPBUILDING COMPANY K.S.C.,69658.0,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2018-04-23,2018-06-28,yes,naics:336611; psc:1905,naics:336611; psc:1905,EMMERGENCY REPAIRS TO US VESSEL LCU 2027
CONT_AWD_W912EP18F0103_9700_W912EP17A0010_9700,W912EP18F0103,VIKING BOAT WORKS COMPANY,69585.0,BPA CALL,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2018-03-15,2018-06-14,yes,naics:336611,naics:336611,IGF::CT::IGF SURVEY VESSEL JACKSONVILLE REPAIR
CONT_AWD_W9127N18P0055_9700_-NONE-_-NONE-,W9127N18P0055,"PROPULSION SYSTEMS, INC.",69351.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J020', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIP AND MARINE EQUIPMENT'}",2018-04-02,2018-06-11,yes,naics:336611,naics:336611,PSI PROPELLER HUB MODEL E 105/4
CONT_AWD_W912P921F0315_9700_W912P917G0002_9700,W912P921F0315,"FABICK POWER SYSTEMS, INC.",69146.79,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2021-09-27,2022-02-19,yes,naics:336611,naics:336611,FY21 MONTGOMERY ENGINE REPAIR
CONT_AWD_W9127821P0096_9700_-NONE-_-NONE-,W9127821P0096,"SHARK TECH, LLC",68987.24,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2021-04-23,2021-06-01,yes,naics:336611,naics:336611,MAIN ENGINE ANNUAL MAINTENANCE
